"Step","visionary-plant-6 - step_crash","visionary-plant-6 - step_crash__MIN","visionary-plant-6 - step_crash__MAX"
"2103","9","9","9"
"2110","8","8","8"
"2117","6","6","6"
"2124","6","6","6"
"2131","9","9","9"
"2138","8","8","8"
"2153","8","8","8"
"2160","9","9","9"
"2167","5","5","5"
"2174","6","6","6"
"2181","8","8","8"
"2188","7","7","7"
"2195","4","4","4"
"2202","3","3","3"
"2209","10","10","10"
"2216","7","7","7"
"2223","11","11","11"
"2230","8","8","8"
"2237","13","13","13"
"2244","9","9","9"
"2251","10","10","10"
"2258","8","8","8"
"2265","13","13","13"
"2272","7","7","7"
"2279","9","9","9"
"2286","6","6","6"
"2293","3","3","3"
"2300","10","10","10"
"2307","5","5","5"
"2314","10","10","10"
"2321","10","10","10"
"2328","7","7","7"
"2335","9","9","9"
"2342","3","3","3"
"2349","7","7","7"
"2356","10","10","10"
"2363","12","12","12"
"2370","8","8","8"
"2377","11","11","11"
"2384","9","9","9"
"2391","4","4","4"
"2398","5","5","5"
"2405","6","6","6"
"2412","10","10","10"
"2419","6","6","6"
"2426","6","6","6"
"2433","5","5","5"
"2440","4","4","4"
"2447","6","6","6"
"2454","7","7","7"
"2461","3","3","3"
"2468","11","11","11"
"2475","10","10","10"
"2482","11","11","11"
"2489","10","10","10"
"2496","9","9","9"
"2503","8","8","8"
"2510","9","9","9"
"2517","10","10","10"
"2524","5","5","5"
"2531","7","7","7"
"2538","8","8","8"
"2545","11","11","11"
"2552","8","8","8"
"2559","7","7","7"
"2566","3","3","3"
"2573","7","7","7"
"2580","8","8","8"
"2587","7","7","7"
"2594","6","6","6"
"2601","12","12","12"
"2608","7","7","7"
"2615","6","6","6"
"2622","7","7","7"
"2629","6","6","6"
"2636","7","7","7"
"2643","6","6","6"
"2650","9","9","9"
"2657","6","6","6"
"2664","5","5","5"
"2671","8","8","8"
"2678","8","8","8"
"2685","11","11","11"
"2692","12","12","12"
"2699","11","11","11"
"2706","13","13","13"
"2713","8","8","8"
"2720","4","4","4"
"2727","7","7","7"
"2734","4","4","4"
"2741","7","7","7"
"2748","6","6","6"
"2755","10","10","10"
"2762","6","6","6"
"2769","8","8","8"
"2776","6","6","6"
"2783","10","10","10"
"2790","9","9","9"
"2797","6","6","6"
"2804","3","3","3"
"2811","14","14","14"
"2818","9","9","9"
"2825","6","6","6"
"2832","11","11","11"
"2839","9","9","9"
"2846","10","10","10"
"2853","4","4","4"
"2860","5","5","5"
"2867","8","8","8"
"2874","7","7","7"
"2881","2","2","2"
"2888","6","6","6"
"2895","7","7","7"
"2902","9","9","9"
"2909","5","5","5"
"2916","7","7","7"
"2923","11","11","11"
"2930","8","8","8"
"2937","9","9","9"
"2944","8","8","8"
