"Step","visionary-plant-6 - step_crash","visionary-plant-6 - step_crash__MIN","visionary-plant-6 - step_crash__MAX"
"20045","1","1","1"
"20052","0","0","0"
"20059","0","0","0"
"20066","0","0","0"
"20073","0","0","0"
"20080","0","0","0"
"20087","0","0","0"
"20094","1","1","1"
"20101","0","0","0"
"20108","0","0","0"
"20115","0","0","0"
"20122","0","0","0"
"20129","0","0","0"
"20136","1","1","1"
"20143","0","0","0"
"20150","0","0","0"
"20157","0","0","0"
"20164","0","0","0"
"20171","1","1","1"
"20178","0","0","0"
"20185","0","0","0"
"20192","0","0","0"
"20199","0","0","0"
"20206","0","0","0"
"20213","0","0","0"
"20220","1","1","1"
"20227","0","0","0"
"20234","0","0","0"
"20241","0","0","0"
"20248","0","0","0"
"20255","0","0","0"
"20262","0","0","0"
"20269","0","0","0"
"20276","0","0","0"
"20283","0","0","0"
"20290","0","0","0"
"20297","0","0","0"
"20304","0","0","0"
"20311","0","0","0"
"20318","0","0","0"
"20325","0","0","0"
"20332","0","0","0"
"20339","0","0","0"
"20346","0","0","0"
"20353","0","0","0"
"20360","0","0","0"
"20367","0","0","0"
"20374","0","0","0"
"20381","0","0","0"
"20388","0","0","0"
"20395","0","0","0"
"20402","0","0","0"
"20409","0","0","0"
"20416","0","0","0"
"20423","0","0","0"
"20430","0","0","0"
"20437","0","0","0"
"20444","0","0","0"
"20451","0","0","0"
"20458","0","0","0"
"20465","0","0","0"
"20472","0","0","0"
"20479","0","0","0"
"20486","0","0","0"
"20493","0","0","0"
"20500","0","0","0"
"20507","0","0","0"
"20514","0","0","0"
"20521","0","0","0"
"20528","0","0","0"
"20535","0","0","0"
"20542","0","0","0"
"20549","0","0","0"
"20556","0","0","0"
"20563","0","0","0"
"20570","0","0","0"
"20577","0","0","0"
"20584","0","0","0"
"20591","0","0","0"
"20598","0","0","0"
"20605","0","0","0"
"20612","0","0","0"
"20619","0","0","0"
"20626","0","0","0"
"20633","0","0","0"
"20640","0","0","0"
"20647","0","0","0"
"20654","0","0","0"
"20661","0","0","0"
"20668","0","0","0"
"20675","0","0","0"
"20682","0","0","0"
"20689","0","0","0"
"20696","0","0","0"
"20703","0","0","0"
"20710","0","0","0"
"20717","0","0","0"
"20724","0","0","0"
"20731","0","0","0"
"20738","0","0","0"
"20745","0","0","0"
"20752","2","2","2"
"20759","0","0","0"
"20766","0","0","0"
"20773","0","0","0"
"20780","0","0","0"
"20787","0","0","0"
"20794","0","0","0"
"20801","0","0","0"
"20816","0","0","0"
"20823","0","0","0"
"20830","0","0","0"
"20837","0","0","0"
"20844","0","0","0"
"20851","0","0","0"
"20858","0","0","0"
"20865","0","0","0"
"20872","0","0","0"
"20879","0","0","0"
"20886","0","0","0"
"20893","0","0","0"
"20900","0","0","0"
"20907","0","0","0"
"20914","0","0","0"
"20921","0","0","0"
"20928","0","0","0"
"20935","0","0","0"
"20942","1","1","1"
"20949","0","0","0"
"20956","0","0","0"
"20963","0","0","0"
"20970","0","0","0"
"20977","1","1","1"
"20984","0","0","0"
"20991","0","0","0"
"21002","0","0","0"
"21009","0","0","0"
"21016","0","0","0"
"21023","0","0","0"
"21030","0","0","0"
"21037","0","0","0"
"21044","0","0","0"
"21051","0","0","0"
"21058","0","0","0"
"21065","0","0","0"
"21072","0","0","0"
"21079","0","0","0"
"21086","0","0","0"
"21093","0","0","0"
"21100","1","1","1"
"21107","0","0","0"
"21114","0","0","0"
"21121","0","0","0"
"21128","0","0","0"
"21135","0","0","0"
"21142","0","0","0"
"21149","0","0","0"
"21156","0","0","0"
"21163","0","0","0"
"21170","0","0","0"
"21177","0","0","0"
"21184","0","0","0"
"21191","0","0","0"
"21198","0","0","0"
"21205","0","0","0"
"21212","0","0","0"
"21219","0","0","0"
"21226","0","0","0"
"21233","0","0","0"
"21240","0","0","0"
"21247","0","0","0"
"21254","0","0","0"
"21261","0","0","0"
"21268","0","0","0"
"21275","0","0","0"
"21282","0","0","0"
"21289","0","0","0"
"21296","0","0","0"
"21303","0","0","0"
"21310","0","0","0"
"21317","0","0","0"
"21324","0","0","0"
"21331","0","0","0"
"21338","0","0","0"
"21345","0","0","0"
"21352","0","0","0"
"21359","0","0","0"
"21366","0","0","0"
"21373","0","0","0"
"21380","0","0","0"
"21387","0","0","0"
"21394","0","0","0"
"21401","0","0","0"
"21408","0","0","0"
"21415","0","0","0"
"21422","0","0","0"
"21429","0","0","0"
"21436","0","0","0"
"21443","0","0","0"
"21450","0","0","0"
"21457","0","0","0"
"21464","0","0","0"
"21471","0","0","0"
"21478","0","0","0"
"21485","0","0","0"
"21492","0","0","0"
"21499","0","0","0"
"21506","0","0","0"
"21513","0","0","0"
"21520","0","0","0"
"21527","0","0","0"
"21534","0","0","0"
"21541","0","0","0"
"21548","0","0","0"
"21555","0","0","0"
"21562","0","0","0"
"21569","0","0","0"
"21576","0","0","0"
"21583","0","0","0"
"21590","0","0","0"
"21597","0","0","0"
"21604","0","0","0"
"21611","0","0","0"
"21618","0","0","0"
"21625","0","0","0"
"21632","0","0","0"
"21639","0","0","0"
"21646","0","0","0"
"21653","0","0","0"
"21660","0","0","0"
"21667","0","0","0"
"21674","0","0","0"
"21681","0","0","0"
"21688","0","0","0"
"21695","0","0","0"
"21702","0","0","0"
"21709","1","1","1"
"21716","0","0","0"
"21723","0","0","0"
"21730","0","0","0"
"21737","0","0","0"
"21744","0","0","0"
"21751","0","0","0"
"21758","0","0","0"
"21765","0","0","0"
"21772","0","0","0"
"21779","0","0","0"
"21786","0","0","0"
"21793","0","0","0"
"21800","1","1","1"
"21807","0","0","0"
"21814","0","0","0"
"21821","0","0","0"
"21828","0","0","0"
"21835","0","0","0"
"21842","0","0","0"
"21849","0","0","0"
"21856","0","0","0"
"21863","0","0","0"
"21870","0","0","0"
"21877","0","0","0"
"21884","0","0","0"
"21891","0","0","0"
"21898","0","0","0"
"21905","0","0","0"
"21912","0","0","0"
"21919","0","0","0"
"21926","0","0","0"
"21933","0","0","0"
"21940","0","0","0"
"21947","0","0","0"
"21954","0","0","0"
"21961","0","0","0"
"21968","0","0","0"
"21975","0","0","0"
"21982","0","0","0"
"21989","0","0","0"
"21996","0","0","0"
"22003","0","0","0"
"22010","0","0","0"
"22017","0","0","0"
"22024","0","0","0"
"22031","0","0","0"
"22038","0","0","0"
"22045","0","0","0"
"22052","0","0","0"
"22059","0","0","0"
"22066","0","0","0"
"22073","0","0","0"
"22080","0","0","0"
"22087","0","0","0"
"22094","0","0","0"
"22101","0","0","0"
"22116","0","0","0"
"22123","1","1","1"
"22130","0","0","0"
"22137","0","0","0"
"22144","0","0","0"
"22151","0","0","0"
"22158","0","0","0"
"22165","0","0","0"
"22172","0","0","0"
"22179","0","0","0"
"22186","0","0","0"
"22193","0","0","0"
"22200","0","0","0"
"22207","0","0","0"
"22214","0","0","0"
"22221","0","0","0"
"22228","1","1","1"
"22235","0","0","0"
"22242","0","0","0"
"22249","0","0","0"
"22256","0","0","0"
"22263","0","0","0"
"22270","0","0","0"
"22277","0","0","0"
"22284","0","0","0"
"22291","0","0","0"
"22298","0","0","0"
"22305","0","0","0"
"22312","0","0","0"
"22319","0","0","0"
"22326","0","0","0"
"22333","0","0","0"
"22340","0","0","0"
"22347","0","0","0"
"22354","0","0","0"
"22361","0","0","0"
"22368","0","0","0"
"22375","0","0","0"
"22382","0","0","0"
"22389","0","0","0"
"22396","0","0","0"
"22403","0","0","0"
"22410","0","0","0"
"22417","0","0","0"
"22424","0","0","0"
"22431","0","0","0"
"22438","0","0","0"
"22445","0","0","0"
"22452","0","0","0"
"22459","0","0","0"
"22466","0","0","0"
"22473","0","0","0"
"22480","0","0","0"
"22487","0","0","0"
"22494","0","0","0"
"22501","0","0","0"
"22508","0","0","0"
"22515","0","0","0"
"22522","0","0","0"
"22529","0","0","0"
"22536","0","0","0"
"22543","0","0","0"
"22550","0","0","0"
"22557","0","0","0"
"22564","0","0","0"
"22571","0","0","0"
"22578","0","0","0"
"22585","0","0","0"
"22592","0","0","0"
"22599","0","0","0"
"22606","0","0","0"
"22613","0","0","0"
"22620","0","0","0"
"22627","0","0","0"
"22634","0","0","0"
"22641","0","0","0"
"22648","0","0","0"
"22655","0","0","0"
"22662","0","0","0"
"22669","0","0","0"
"22676","0","0","0"
"22683","0","0","0"
"22690","0","0","0"
"22697","0","0","0"
"22704","0","0","0"
"22711","0","0","0"
"22718","0","0","0"
"22725","0","0","0"
"22732","0","0","0"
"22739","0","0","0"
"22746","0","0","0"
"22753","0","0","0"
"22760","0","0","0"
"22767","0","0","0"
"22774","0","0","0"
"22781","0","0","0"
"22788","0","0","0"
"22795","0","0","0"
"22802","0","0","0"
"22809","0","0","0"
"22816","0","0","0"
"22823","0","0","0"
"22830","0","0","0"
"22837","0","0","0"
"22844","0","0","0"
"22851","0","0","0"
"22858","0","0","0"
"22865","0","0","0"
"22872","0","0","0"
"22879","0","0","0"
"22886","0","0","0"
"22893","0","0","0"
"22900","0","0","0"
"22907","0","0","0"
"22914","0","0","0"
"22921","0","0","0"
"22928","0","0","0"
"22935","0","0","0"
"22942","0","0","0"
"22949","0","0","0"
"22956","0","0","0"
"22963","0","0","0"
"22970","0","0","0"
"22977","0","0","0"
"22984","0","0","0"
"22991","0","0","0"
"22998","0","0","0"
"23005","0","0","0"
"23012","0","0","0"
"23019","0","0","0"
"23026","0","0","0"
"23033","0","0","0"
"23040","0","0","0"
"23047","1","1","1"
"23054","0","0","0"
"23061","0","0","0"
"23076","0","0","0"
"23083","0","0","0"
"23090","0","0","0"
"23097","0","0","0"
"23104","0","0","0"
"23111","0","0","0"
"23118","0","0","0"
"23125","0","0","0"
"23132","0","0","0"
"23139","0","0","0"
"23146","0","0","0"
"23153","0","0","0"
"23160","0","0","0"
"23167","0","0","0"
"23174","0","0","0"
"23181","0","0","0"
"23188","0","0","0"
"23195","0","0","0"
"23202","0","0","0"
"23213","0","0","0"
"23220","0","0","0"
"23227","0","0","0"
"23234","0","0","0"
"23241","0","0","0"
"23248","0","0","0"
"23255","0","0","0"
"23262","0","0","0"
"23269","0","0","0"
"23276","0","0","0"
"23283","0","0","0"
"23290","0","0","0"
"23297","0","0","0"
"23304","0","0","0"
"23311","0","0","0"
"23318","0","0","0"
"23325","0","0","0"
"23332","0","0","0"
"23339","0","0","0"
"23346","0","0","0"
"23353","0","0","0"
"23360","0","0","0"
"23367","0","0","0"
"23374","0","0","0"
"23381","0","0","0"
"23388","0","0","0"
"23395","0","0","0"
"23402","0","0","0"
"23409","0","0","0"
"23416","0","0","0"
"23423","0","0","0"
"23430","0","0","0"
"23437","0","0","0"
"23444","0","0","0"
"23451","0","0","0"
"23458","0","0","0"
"23465","0","0","0"
"23472","0","0","0"
"23479","0","0","0"
"23486","0","0","0"
"23493","0","0","0"
"23500","0","0","0"
"23507","0","0","0"
"23514","1","1","1"
"23521","0","0","0"
"23528","1","1","1"
"23535","0","0","0"
"23542","0","0","0"
"23549","0","0","0"
"23556","1","1","1"
"23563","0","0","0"
"23570","0","0","0"
"23577","0","0","0"
"23584","0","0","0"
"23591","0","0","0"
"23598","0","0","0"
"23605","0","0","0"
"23612","0","0","0"
"23619","0","0","0"
"23626","0","0","0"
"23633","0","0","0"
"23640","0","0","0"
"23647","0","0","0"
"23654","0","0","0"
"23661","0","0","0"
"23668","0","0","0"
"23675","0","0","0"
"23682","0","0","0"
"23689","0","0","0"
"23696","0","0","0"
"23703","1","1","1"
"23710","0","0","0"
"23717","0","0","0"
"23724","0","0","0"
"23731","0","0","0"
"23738","0","0","0"
"23745","0","0","0"
"23752","0","0","0"
"23759","0","0","0"
"23766","0","0","0"
"23773","0","0","0"
"23780","0","0","0"
"23787","0","0","0"
"23794","0","0","0"
"23801","0","0","0"
"23808","0","0","0"
"23815","0","0","0"
"23822","0","0","0"
"23829","0","0","0"
"23836","0","0","0"
"23843","0","0","0"
"23850","0","0","0"
"23857","0","0","0"
"23868","1","1","1"
"23875","0","0","0"
"23882","0","0","0"
"23889","0","0","0"
"23896","0","0","0"
"23903","0","0","0"
"23910","0","0","0"
"23917","0","0","0"
"23924","0","0","0"
"23931","0","0","0"
"23938","0","0","0"
"23945","0","0","0"
"23952","0","0","0"
"23959","0","0","0"
"23966","0","0","0"
"23973","0","0","0"
"23980","1","1","1"
"23987","1","1","1"
"23994","0","0","0"
"24001","0","0","0"
"24008","0","0","0"
"24015","0","0","0"
"24022","0","0","0"
"24029","0","0","0"
"24036","0","0","0"
"24043","0","0","0"
"24050","0","0","0"
"24057","0","0","0"
"24064","0","0","0"
"24071","0","0","0"
"24078","0","0","0"
"24085","0","0","0"
"24092","0","0","0"
"24099","1","1","1"
"24106","0","0","0"
"24113","0","0","0"
"24120","0","0","0"
"24127","0","0","0"
"24134","0","0","0"
"24141","0","0","0"
"24148","0","0","0"
"24155","0","0","0"
"24162","0","0","0"
"24169","0","0","0"
"24176","0","0","0"
"24183","0","0","0"
"24190","0","0","0"
"24197","0","0","0"
"24204","0","0","0"
"24211","0","0","0"
"24218","0","0","0"
"24225","0","0","0"
"24232","0","0","0"
"24239","0","0","0"
"24246","0","0","0"
"24253","0","0","0"
"24260","0","0","0"
"24267","0","0","0"
"24274","0","0","0"
"24281","0","0","0"
"24288","0","0","0"
"24295","0","0","0"
"24302","0","0","0"
"24309","0","0","0"
"24324","0","0","0"
"24331","0","0","0"
"24338","1","1","1"
"24345","0","0","0"
"24352","0","0","0"
"24359","0","0","0"
"24366","0","0","0"
"24373","0","0","0"
"24380","0","0","0"
"24387","0","0","0"
"24394","0","0","0"
"24401","0","0","0"
"24408","0","0","0"
"24415","0","0","0"
"24422","0","0","0"
"24429","0","0","0"
"24436","0","0","0"
"24443","0","0","0"
"24450","0","0","0"
"24457","0","0","0"
"24464","0","0","0"
"24471","0","0","0"
"24478","1","1","1"
"24485","0","0","0"
"24492","0","0","0"
"24499","0","0","0"
"24506","0","0","0"
"24513","0","0","0"
"24520","0","0","0"
"24527","0","0","0"
"24534","0","0","0"
"24541","0","0","0"
"24548","0","0","0"
"24555","0","0","0"
"24562","0","0","0"
"24569","0","0","0"
"24576","0","0","0"
"24583","0","0","0"
"24590","0","0","0"
"24597","0","0","0"
"24604","1","1","1"
"24611","0","0","0"
"24618","0","0","0"
"24625","0","0","0"
"24632","0","0","0"
"24639","0","0","0"
"24646","0","0","0"
"24653","0","0","0"
"24660","0","0","0"
"24667","0","0","0"
"24674","0","0","0"
"24681","0","0","0"
"24688","0","0","0"
"24695","0","0","0"
"24702","0","0","0"
"24709","0","0","0"
"24716","0","0","0"
"24723","0","0","0"
"24730","0","0","0"
"24737","0","0","0"
"24744","0","0","0"
"24751","0","0","0"
"24758","0","0","0"
"24765","0","0","0"
"24772","0","0","0"
"24779","0","0","0"
"24786","0","0","0"
"24793","0","0","0"
"24800","0","0","0"
"24807","0","0","0"
"24814","0","0","0"
"24821","0","0","0"
"24828","0","0","0"
"24835","0","0","0"
"24842","0","0","0"
"24849","0","0","0"
"24856","0","0","0"
"24863","0","0","0"
"24870","0","0","0"
"24877","0","0","0"
"24884","0","0","0"
"24891","0","0","0"
"24898","0","0","0"
"24905","0","0","0"
"24912","0","0","0"
"24919","0","0","0"
"24926","0","0","0"
"24933","0","0","0"
"24940","0","0","0"
"24947","0","0","0"
"24954","0","0","0"
"24961","0","0","0"
"24968","0","0","0"
"24975","0","0","0"
"24982","0","0","0"
"24989","0","0","0"
"24996","0","0","0"
"25003","0","0","0"
"25010","0","0","0"
"25017","0","0","0"
"25024","0","0","0"
"25031","0","0","0"
"25038","0","0","0"
"25045","0","0","0"
"25052","0","0","0"
"25059","0","0","0"
"25066","0","0","0"
"25073","0","0","0"
"25080","0","0","0"
"25087","0","0","0"
"25094","0","0","0"
"25101","0","0","0"
"25108","0","0","0"
"25115","0","0","0"
"25122","0","0","0"
"25129","0","0","0"
"25136","0","0","0"
"25143","0","0","0"
"25150","0","0","0"
"25157","0","0","0"
"25164","0","0","0"
"25171","0","0","0"
"25178","0","0","0"
"25185","0","0","0"
"25192","0","0","0"
"25199","0","0","0"
"25206","0","0","0"
"25213","0","0","0"
"25220","0","0","0"
"25227","0","0","0"
"25234","0","0","0"
"25241","0","0","0"
"25248","0","0","0"
"25255","0","0","0"
"25262","0","0","0"
"25269","0","0","0"
"25276","0","0","0"
"25283","0","0","0"
"25290","0","0","0"
"25297","0","0","0"
"25304","0","0","0"
"25311","0","0","0"
"25318","0","0","0"
"25333","0","0","0"
"25340","0","0","0"
"25347","0","0","0"
"25354","0","0","0"
"25361","0","0","0"
"25368","0","0","0"
"25375","0","0","0"
"25382","0","0","0"
"25389","0","0","0"
"25396","0","0","0"
"25403","0","0","0"
"25410","0","0","0"
"25417","0","0","0"
"25424","0","0","0"
"25431","0","0","0"
"25442","0","0","0"
"25449","0","0","0"
"25456","0","0","0"
"25463","0","0","0"
"25470","0","0","0"
"25477","0","0","0"
"25484","0","0","0"
"25491","1","1","1"
"25498","0","0","0"
"25505","0","0","0"
"25512","0","0","0"
"25519","0","0","0"
"25526","0","0","0"
"25533","0","0","0"
"25540","0","0","0"
"25547","0","0","0"
"25554","0","0","0"
"25561","0","0","0"
"25568","0","0","0"
"25575","0","0","0"
"25582","0","0","0"
"25589","0","0","0"
"25596","1","1","1"
"25603","0","0","0"
"25610","0","0","0"
"25617","0","0","0"
"25624","0","0","0"
"25631","0","0","0"
"25638","0","0","0"
"25645","0","0","0"
"25652","0","0","0"
"25659","0","0","0"
"25666","0","0","0"
"25673","0","0","0"
"25680","0","0","0"
"25687","0","0","0"
"25694","0","0","0"
"25701","0","0","0"
"25708","0","0","0"
"25715","0","0","0"
"25722","0","0","0"
"25729","0","0","0"
"25736","0","0","0"
"25743","0","0","0"
"25750","0","0","0"
"25757","0","0","0"
"25764","0","0","0"
"25771","0","0","0"
"25778","0","0","0"
"25785","0","0","0"
"25792","1","1","1"
"25799","0","0","0"
"25806","0","0","0"
"25813","0","0","0"
"25820","0","0","0"
"25827","0","0","0"
"25834","0","0","0"
"25841","0","0","0"
"25848","0","0","0"
"25855","1","1","1"
"25862","0","0","0"
"25869","0","0","0"
"25876","0","0","0"
"25883","0","0","0"
"25890","0","0","0"
"25897","0","0","0"
"25904","0","0","0"
"25911","0","0","0"
"25918","0","0","0"
"25925","0","0","0"
"25932","0","0","0"
"25939","0","0","0"
"25946","0","0","0"
"25953","1","1","1"
"25960","0","0","0"
"25967","0","0","0"
"25974","0","0","0"
"25981","0","0","0"
"25988","0","0","0"
"25995","0","0","0"
"26002","0","0","0"
"26009","0","0","0"
"26016","0","0","0"
"26023","0","0","0"
"26030","0","0","0"
"26037","0","0","0"
"26044","0","0","0"
"26051","0","0","0"
"26058","0","0","0"
"26065","0","0","0"
"26072","0","0","0"
"26079","0","0","0"
"26086","0","0","0"
"26093","0","0","0"
"26100","0","0","0"
"26107","0","0","0"
"26114","0","0","0"
"26121","0","0","0"
"26128","0","0","0"
"26135","0","0","0"
"26142","0","0","0"
"26149","0","0","0"
"26156","0","0","0"
"26163","1","1","1"
"26170","0","0","0"
"26177","0","0","0"
"26184","0","0","0"
"26191","0","0","0"
"26198","0","0","0"
"26205","0","0","0"
"26212","0","0","0"
"26219","0","0","0"
"26226","0","0","0"
"26233","0","0","0"
"26240","0","0","0"
"26247","0","0","0"
"26254","0","0","0"
"26261","0","0","0"
"26268","0","0","0"
"26275","0","0","0"
"26282","0","0","0"
"26289","0","0","0"
"26296","0","0","0"
"26303","0","0","0"
"26310","0","0","0"
"26317","0","0","0"
"26324","0","0","0"
"26331","0","0","0"
"26338","1","1","1"
"26345","0","0","0"
"26352","0","0","0"
"26359","0","0","0"
"26366","0","0","0"
"26373","0","0","0"
"26380","0","0","0"
"26387","0","0","0"
"26394","0","0","0"
"26401","0","0","0"
"26408","0","0","0"
"26415","0","0","0"
"26422","0","0","0"
"26429","0","0","0"
"26436","0","0","0"
"26443","0","0","0"
"26450","0","0","0"
"26457","0","0","0"
"26464","0","0","0"
"26471","0","0","0"
"26478","0","0","0"
"26485","0","0","0"
"26492","0","0","0"
"26499","0","0","0"
"26506","0","0","0"
"26513","0","0","0"
"26520","0","0","0"
"26527","0","0","0"
"26534","0","0","0"
"26549","0","0","0"
"26556","1","1","1"
"26563","0","0","0"
"26570","0","0","0"
"26577","0","0","0"
"26584","1","1","1"
"26591","0","0","0"
"26598","0","0","0"
"26605","0","0","0"
"26612","0","0","0"
"26619","0","0","0"
"26626","0","0","0"
"26633","0","0","0"
"26640","0","0","0"
"26647","0","0","0"
"26654","0","0","0"
"26661","0","0","0"
"26668","0","0","0"
"26675","0","0","0"
"26682","0","0","0"
"26689","0","0","0"
"26696","0","0","0"
"26703","0","0","0"
"26710","0","0","0"
"26717","0","0","0"
"26724","0","0","0"
"26731","0","0","0"
"26738","0","0","0"
"26745","0","0","0"
"26752","0","0","0"
"26759","0","0","0"
"26766","0","0","0"
"26773","0","0","0"
"26780","0","0","0"
"26787","0","0","0"
"26794","0","0","0"
"26801","0","0","0"
"26808","0","0","0"
"26815","0","0","0"
"26822","0","0","0"
"26829","0","0","0"
"26836","0","0","0"
"26843","0","0","0"
"26850","0","0","0"
"26857","0","0","0"
"26864","0","0","0"
"26871","0","0","0"
"26878","1","1","1"
"26885","0","0","0"
"26892","0","0","0"
"26899","0","0","0"
"26906","0","0","0"
"26913","0","0","0"
"26920","0","0","0"
"26927","0","0","0"
"26934","0","0","0"
"26941","0","0","0"
"26948","0","0","0"
"26955","0","0","0"
"26962","0","0","0"
"26969","0","0","0"
"26976","0","0","0"
"26983","0","0","0"
"26990","0","0","0"
"26997","0","0","0"
"27004","0","0","0"
"27011","0","0","0"
"27018","0","0","0"
"27025","0","0","0"
"27032","0","0","0"
"27039","0","0","0"
"27046","0","0","0"
"27053","0","0","0"
"27060","0","0","0"
"27067","0","0","0"
"27074","0","0","0"
"27081","0","0","0"
"27088","0","0","0"
"27095","0","0","0"
"27102","0","0","0"
"27109","0","0","0"
"27116","0","0","0"
"27123","0","0","0"
"27130","0","0","0"
"27137","0","0","0"
"27144","0","0","0"
"27151","0","0","0"
"27158","0","0","0"
"27165","0","0","0"
"27172","0","0","0"
"27179","0","0","0"
"27186","0","0","0"
"27193","0","0","0"
"27200","0","0","0"
"27207","0","0","0"
"27214","0","0","0"
"27221","0","0","0"
"27228","0","0","0"
"27235","0","0","0"
"27242","0","0","0"
"27249","0","0","0"
"27256","0","0","0"
"27263","0","0","0"
"27270","0","0","0"
"27277","0","0","0"
"27284","0","0","0"
"27291","0","0","0"
"27298","0","0","0"
"27305","0","0","0"
"27312","0","0","0"
"27319","0","0","0"
"27326","0","0","0"
"27333","0","0","0"
"27340","0","0","0"
"27347","0","0","0"
"27354","0","0","0"
"27361","0","0","0"
"27368","0","0","0"
"27375","0","0","0"
"27382","0","0","0"
"27389","0","0","0"
"27396","0","0","0"
"27403","0","0","0"
"27410","0","0","0"
"27417","0","0","0"
"27424","0","0","0"
"27431","0","0","0"
"27438","0","0","0"
"27445","0","0","0"
"27452","0","0","0"
"27459","0","0","0"
"27466","0","0","0"
"27473","0","0","0"
"27480","0","0","0"
"27487","0","0","0"
"27494","0","0","0"
"27501","0","0","0"
"27508","0","0","0"
"27515","0","0","0"
"27522","0","0","0"
"27529","0","0","0"
"27536","0","0","0"
"27543","1","1","1"
"27550","0","0","0"
"27557","0","0","0"
"27564","1","1","1"
"27571","0","0","0"
"27578","0","0","0"
"27593","0","0","0"
"27600","0","0","0"
"27607","0","0","0"
"27614","1","1","1"
"27621","0","0","0"
"27628","0","0","0"
"27635","0","0","0"
"27642","0","0","0"
"27649","0","0","0"
"27660","0","0","0"
"27667","0","0","0"
"27674","0","0","0"
"27681","0","0","0"
"27688","0","0","0"
"27695","0","0","0"
"27702","0","0","0"
"27709","0","0","0"
"27716","0","0","0"
"27723","0","0","0"
"27730","0","0","0"
"27737","0","0","0"
"27744","0","0","0"
"27751","0","0","0"
"27758","0","0","0"
"27765","0","0","0"
"27772","0","0","0"
"27779","0","0","0"
"27786","0","0","0"
"27793","0","0","0"
"27800","0","0","0"
"27807","0","0","0"
"27814","0","0","0"
"27821","0","0","0"
"27828","0","0","0"
"27835","0","0","0"
"27842","0","0","0"
"27849","0","0","0"
"27856","0","0","0"
"27863","0","0","0"
"27870","0","0","0"
"27877","0","0","0"
"27884","0","0","0"
"27891","0","0","0"
"27898","0","0","0"
"27905","0","0","0"
"27912","0","0","0"
"27919","0","0","0"
"27926","0","0","0"
"27933","0","0","0"
"27940","0","0","0"
"27947","0","0","0"
"27954","0","0","0"
"27961","0","0","0"
"27968","0","0","0"
"27975","0","0","0"
"27982","0","0","0"
"27989","0","0","0"
"27996","0","0","0"
"28003","0","0","0"
"28010","0","0","0"
"28017","0","0","0"
"28024","0","0","0"
"28031","0","0","0"
"28038","0","0","0"
"28045","0","0","0"
"28052","0","0","0"
"28059","0","0","0"
"28066","0","0","0"
"28073","0","0","0"
"28080","1","1","1"
"28087","0","0","0"
"28094","0","0","0"
"28101","0","0","0"
"28108","0","0","0"
"28115","0","0","0"
"28122","0","0","0"
"28129","0","0","0"
"28136","0","0","0"
"28143","0","0","0"
"28150","0","0","0"
"28157","0","0","0"
"28164","0","0","0"
"28171","0","0","0"
"28178","0","0","0"
"28185","0","0","0"
"28192","0","0","0"
"28199","0","0","0"
"28206","0","0","0"
"28213","0","0","0"
"28220","0","0","0"
"28227","0","0","0"
"28234","0","0","0"
"28241","0","0","0"
"28248","0","0","0"
"28255","0","0","0"
"28262","0","0","0"
"28269","0","0","0"
"28276","0","0","0"
"28283","0","0","0"
"28290","0","0","0"
"28297","0","0","0"
"28304","0","0","0"
"28311","0","0","0"
"28318","0","0","0"
"28325","0","0","0"
"28332","0","0","0"
"28339","0","0","0"
"28346","0","0","0"
"28353","0","0","0"
"28360","0","0","0"
"28367","0","0","0"
"28374","1","1","1"
"28381","0","0","0"
"28388","0","0","0"
"28395","0","0","0"
"28402","0","0","0"
"28409","0","0","0"
"28416","0","0","0"
"28423","0","0","0"
"28430","0","0","0"
"28437","0","0","0"
"28444","0","0","0"
"28451","0","0","0"
"28458","0","0","0"
"28465","0","0","0"
"28472","0","0","0"
"28479","0","0","0"
"28486","0","0","0"
"28493","0","0","0"
"28500","0","0","0"
"28507","0","0","0"
"28514","0","0","0"
"28521","0","0","0"
"28528","0","0","0"
"28535","1","1","1"
"28542","0","0","0"
"28549","0","0","0"
"28556","0","0","0"
"28563","0","0","0"
"28570","0","0","0"
"28577","0","0","0"
"28584","0","0","0"
"28591","0","0","0"
"28598","0","0","0"
"28605","0","0","0"
"28612","0","0","0"
"28619","0","0","0"
"28626","0","0","0"
"28633","0","0","0"
"28640","0","0","0"
"28647","0","0","0"
"28654","0","0","0"
"28661","0","0","0"
"28668","0","0","0"
"28675","0","0","0"
"28682","0","0","0"
"28689","0","0","0"
"28696","0","0","0"
"28703","0","0","0"
"28710","0","0","0"
"28717","0","0","0"
"28724","0","0","0"
"28731","0","0","0"
"28738","0","0","0"
"28745","0","0","0"
"28752","0","0","0"
"28767","0","0","0"
"28774","0","0","0"
"28781","0","0","0"
"28788","0","0","0"
"28795","0","0","0"
"28802","0","0","0"
"28809","0","0","0"
"28816","0","0","0"
"28823","0","0","0"
"28830","0","0","0"
"28837","0","0","0"
"28844","0","0","0"
"28851","0","0","0"
"28858","0","0","0"
"28865","0","0","0"
"28872","0","0","0"
"28879","0","0","0"
"28886","0","0","0"
"28893","0","0","0"
"28900","0","0","0"
"28907","0","0","0"
"28914","0","0","0"
"28921","0","0","0"
"28928","0","0","0"
"28935","0","0","0"
"28942","0","0","0"
"28949","0","0","0"
"28956","0","0","0"
"28963","0","0","0"
"28970","0","0","0"
"28977","0","0","0"
"28984","0","0","0"
"28991","0","0","0"
