"Step","eager-universe-7 - rewards/step","eager-universe-7 - rewards/step__MIN","eager-universe-7 - rewards/step__MAX"
"16471","170.12745666503906","170.12745666503906","170.12745666503906"
"16475","158.0722198486328","158.0722198486328","158.0722198486328"
"16785","289.15191650390625","289.15191650390625","289.15191650390625"
"16789","329.6427001953125","329.6427001953125","329.6427001953125"
"16801","336.9894104003906","336.9894104003906","336.9894104003906"
"17120","295.2648620605469","295.2648620605469","295.2648620605469"
"17124","309.0666809082031","309.0666809082031","309.0666809082031"
"17442","326.1770324707031","326.1770324707031","326.1770324707031"
"17446","300.07781982421875","300.07781982421875","300.07781982421875"
"17713","275.9013366699219","275.9013366699219","275.9013366699219"
"17717","314.4165954589844","314.4165954589844","314.4165954589844"
"17773","318.5578308105469","318.5578308105469","318.5578308105469"
"18091","338.1365661621094","338.1365661621094","338.1365661621094"
"18095","401.21282958984375","401.21282958984375","401.21282958984375"
"18373","337.898193359375","337.898193359375","337.898193359375"
"18377","348.513427734375","348.513427734375","348.513427734375"
"18420","338.5542907714844","338.5542907714844","338.5542907714844"
"18736","358.8826599121094","358.8826599121094","358.8826599121094"
"18740","385.8497619628906","385.8497619628906","385.8497619628906"
"19034","360.8754577636719","360.8754577636719","360.8754577636719"
"19038","514.6375122070312","514.6375122070312","514.6375122070312"
"19065","448.1593017578125","448.1593017578125","448.1593017578125"
"19383","449.4627990722656","449.4627990722656","449.4627990722656"
"19387","426.4838562011719","426.4838562011719","426.4838562011719"
"19696","406.4127502441406","406.4127502441406","406.4127502441406"
"19700","439.22509765625","439.22509765625","439.22509765625"
"19715","479.3735046386719","479.3735046386719","479.3735046386719"
"20029","510.32080078125","510.32080078125","510.32080078125"
"20033","481.00238037109375","481.00238037109375","481.00238037109375"
"20350","515.161376953125","515.161376953125","515.161376953125"
"20354","537.3265991210938","537.3265991210938","537.3265991210938"
"20620","568.5139770507812","568.5139770507812","568.5139770507812"
"20624","566.0702514648438","566.0702514648438","566.0702514648438"
"20678","574.8279418945312","574.8279418945312","574.8279418945312"
"20992","601.5282592773438","601.5282592773438","601.5282592773438"
"20996","606.2338256835938","606.2338256835938","606.2338256835938"
"21282","603.1936645507812","603.1936645507812","603.1936645507812"
"21286","614.5426635742188","614.5426635742188","614.5426635742188"
"21318","601.8750610351562","601.8750610351562","601.8750610351562"
"21638","541.5184936523438","541.5184936523438","541.5184936523438"
"21642","523.911865234375","523.911865234375","523.911865234375"
"21946","639.98779296875","639.98779296875","639.98779296875"
"21950","615.237060546875","615.237060546875","615.237060546875"
"21966","516.853515625","516.853515625","516.853515625"
"22280","654.47412109375","654.47412109375","654.47412109375"
"22284","632.8846435546875","632.8846435546875","632.8846435546875"
"22602","666.2489624023438","666.2489624023438","666.2489624023438"
"22606","709.9722290039062","709.9722290039062","709.9722290039062"
"22870","610.1400146484375","610.1400146484375","610.1400146484375"
"22874","638.5296630859375","638.5296630859375","638.5296630859375"
"22930","665.2614135742188","665.2614135742188","665.2614135742188"
"23251","636.83154296875","636.83154296875","636.83154296875"
"23255","663.9751586914062","663.9751586914062","663.9751586914062"
"23533","682.2529296875","682.2529296875","682.2529296875"
"23537","735.3591918945312","735.3591918945312","735.3591918945312"
"23580","732.9158325195312","732.9158325195312","732.9158325195312"
"23898","751.2965698242188","751.2965698242188","751.2965698242188"
"23902","732.5154418945312","732.5154418945312","732.5154418945312"
"24192","771.5034790039062","771.5034790039062","771.5034790039062"
"24196","713.4052734375","713.4052734375","713.4052734375"
"24227","711.048583984375","711.048583984375","711.048583984375"
"24541","741.755126953125","741.755126953125","741.755126953125"
"24545","733.1901245117188","733.1901245117188","733.1901245117188"
"24859","775.858642578125","775.858642578125","775.858642578125"
"24863","806.4887084960938","806.4887084960938","806.4887084960938"
"24872","782.5541381835938","782.5541381835938","782.5541381835938"
"25186","753.1204223632812","753.1204223632812","753.1204223632812"
"25190","799.099609375","799.099609375","799.099609375"
"25506","745.6680908203125","745.6680908203125","745.6680908203125"
"25511","754.2467651367188","754.2467651367188","754.2467651367188"
"25780","769.507568359375","769.507568359375","769.507568359375"
"25784","761.7941284179688","761.7941284179688","761.7941284179688"
"25835","772.1493530273438","772.1493530273438","772.1493530273438"
"26155","770.670166015625","770.670166015625","770.670166015625"
"26159","809.2196044921875","809.2196044921875","809.2196044921875"
"26447","806.8860473632812","806.8860473632812","806.8860473632812"
"26451","802.819580078125","802.819580078125","802.819580078125"
"26484","778.3424682617188","778.3424682617188","778.3424682617188"
"26796","779.9644165039062","779.9644165039062","779.9644165039062"
"26800","809.9890747070312","809.9890747070312","809.9890747070312"
"27104","782.1378173828125","782.1378173828125","782.1378173828125"
"27108","817.6153564453125","817.6153564453125","817.6153564453125"
"27123","768.1746826171875","768.1746826171875","768.1746826171875"
"27441","757.5717163085938","757.5717163085938","757.5717163085938"
"27445","786.5855102539062","786.5855102539062","786.5855102539062"
"27767","798.3662109375","798.3662109375","798.3662109375"
"27771","789.2964477539062","789.2964477539062","789.2964477539062"
"28034","828.8424072265625","828.8424072265625","828.8424072265625"
"28038","750.989501953125","750.989501953125","750.989501953125"
"28095","784.5629272460938","784.5629272460938","784.5629272460938"
"28412","826.6378784179688","826.6378784179688","826.6378784179688"
"28416","860.1781616210938","860.1781616210938","860.1781616210938"
"28692","847.4037475585938","847.4037475585938","847.4037475585938"
"28696","789.388916015625","789.388916015625","789.388916015625"
"28740","787.8486328125","787.8486328125","787.8486328125"
"29059","825.319580078125","825.319580078125","825.319580078125"
"29063","804.851806640625","804.851806640625","804.851806640625"
"29358","809.1389770507812","809.1389770507812","809.1389770507812"
"29362","846.2503662109375","846.2503662109375","846.2503662109375"
"29387","798.7554321289062","798.7554321289062","798.7554321289062"
"29702","809.6392211914062","809.6392211914062","809.6392211914062"
"29706","818.879150390625","818.879150390625","818.879150390625"
"30016","831.5226440429688","831.5226440429688","831.5226440429688"
"30020","822.8342895507812","822.8342895507812","822.8342895507812"
"30027","837.9838256835938","837.9838256835938","837.9838256835938"
"30348","805.4385986328125","805.4385986328125","805.4385986328125"
"30352","856.2131958007812","856.2131958007812","856.2131958007812"
"30667","775.8194580078125","775.8194580078125","775.8194580078125"
"30671","819.5838623046875","819.5838623046875","819.5838623046875"
"30946","803.4356689453125","803.4356689453125","803.4356689453125"
"30950","836.7261352539062","836.7261352539062","836.7261352539062"
"30992","820.4580078125","820.4580078125","820.4580078125"
"31305","826.7401123046875","826.7401123046875","826.7401123046875"
"31309","846.3111572265625","846.3111572265625","846.3111572265625"
"31610","832.8030395507812","832.8030395507812","832.8030395507812"
"31614","844.2832641601562","844.2832641601562","844.2832641601562"
"31637","782.8596801757812","782.8596801757812","782.8596801757812"
"31951","818.0424194335938","818.0424194335938","818.0424194335938"
"31955","822.7525634765625","822.7525634765625","822.7525634765625"
"32268","837.1304321289062","837.1304321289062","837.1304321289062"
"32272","842.3668823242188","842.3668823242188","842.3668823242188"
