"Step","eager-universe-7 - Smallest CBF constraint(unfiltered)","eager-universe-7 - Smallest CBF constraint(unfiltered)__MIN","eager-universe-7 - Smallest CBF constraint(unfiltered)__MAX"
"182","-1.1754671335220337","-1.1754671335220337","-1.1754671335220337"
"184","-1.423555850982666","-1.423555850982666","-1.423555850982666"
"186","-1.4259159564971924","-1.4259159564971924","-1.4259159564971924"
"188","-1.6181186437606812","-1.6181186437606812","-1.6181186437606812"
"190","-1.418513536453247","-1.418513536453247","-1.418513536453247"
"192","-1.4212839603424072","-1.4212839603424072","-1.4212839603424072"
"194","-1.5193476676940918","-1.5193476676940918","-1.5193476676940918"
"196","-1.5526835918426514","-1.5526835918426514","-1.5526835918426514"
"198","-1.0995612144470215","-1.0995612144470215","-1.0995612144470215"
"200","-1.1859354972839355","-1.1859354972839355","-1.1859354972839355"
"202","-1.7341563701629639","-1.7341563701629639","-1.7341563701629639"
"204","-1.519277572631836","-1.519277572631836","-1.519277572631836"
"206","-1.861680507659912","-1.861680507659912","-1.861680507659912"
"208","-1.4128303527832031","-1.4128303527832031","-1.4128303527832031"
"210","-1.9597152471542358","-1.9597152471542358","-1.9597152471542358"
"212","-1.8366055488586426","-1.8366055488586426","-1.8366055488586426"
"214","-1.2570388317108154","-1.2570388317108154","-1.2570388317108154"
"216","-1.8593003749847412","-1.8593003749847412","-1.8593003749847412"
"218","-1.46339750289917","-1.46339750289917","-1.46339750289917"
"220","-1.2713708877563477","-1.2713708877563477","-1.2713708877563477"
"222","-1.7704625129699707","-1.7704625129699707","-1.7704625129699707"
"224","-1.4342643022537231","-1.4342643022537231","-1.4342643022537231"
"226","-1.8570295572280884","-1.8570295572280884","-1.8570295572280884"
"228","-1.3823111057281494","-1.3823111057281494","-1.3823111057281494"
"230","-1.9919074773788452","-1.9919074773788452","-1.9919074773788452"
"232","-1.4648724794387817","-1.4648724794387817","-1.4648724794387817"
"234","-1.0567283630371094","-1.0567283630371094","-1.0567283630371094"
"236","-1.269692063331604","-1.269692063331604","-1.269692063331604"
"238","-0.9415099620819092","-0.9415099620819092","-0.9415099620819092"
"240","-1.2212468385696411","-1.2212468385696411","-1.2212468385696411"
"242","-1.3064593076705933","-1.3064593076705933","-1.3064593076705933"
"244","-1.6227967739105225","-1.6227967739105225","-1.6227967739105225"
"246","-1.425396203994751","-1.425396203994751","-1.425396203994751"
"248","-0.9308472275733948","-0.9308472275733948","-0.9308472275733948"
"250","-0.7890753149986267","-0.7890753149986267","-0.7890753149986267"
"252","-1.2073085308074951","-1.2073085308074951","-1.2073085308074951"
"254","-1.2735838890075684","-1.2735838890075684","-1.2735838890075684"
"256","-0.9278079867362976","-0.9278079867362976","-0.9278079867362976"
"258","-1.6941184997558594","-1.6941184997558594","-1.6941184997558594"
"260","-1.7435524463653564","-1.7435524463653564","-1.7435524463653564"
"262","-1.152743935585022","-1.152743935585022","-1.152743935585022"
"264","-1.6687978506088257","-1.6687978506088257","-1.6687978506088257"
"266","-1.6163753271102905","-1.6163753271102905","-1.6163753271102905"
"268","-1.0804204940795898","-1.0804204940795898","-1.0804204940795898"
"270","-1.3370200395584106","-1.3370200395584106","-1.3370200395584106"
"272","-1.2748465538024902","-1.2748465538024902","-1.2748465538024902"
"274","-1.6406588554382324","-1.6406588554382324","-1.6406588554382324"
"276","-2.0297811031341553","-2.0297811031341553","-2.0297811031341553"
"278","-1.5689539909362793","-1.5689539909362793","-1.5689539909362793"
