"Step","eager-universe-7 - Smallest CBF value","eager-universe-7 - Smallest CBF value__MIN","eager-universe-7 - Smallest CBF value__MAX"
"268","-0.2491646260023117","-0.2491646260023117","-0.2491646260023117"
"272","-0.25950974225997925","-0.25950974225997925","-0.25950974225997925"
"274","-0.2530028820037842","-0.2530028820037842","-0.2530028820037842"
"276","-0.2947067618370056","-0.2947067618370056","-0.2947067618370056"
"278","-0.2678115665912628","-0.2678115665912628","-0.2678115665912628"
"282","-0.24813254177570343","-0.24813254177570343","-0.24813254177570343"
"284","-0.22177132964134216","-0.22177132964134216","-0.22177132964134216"
"290","-0.24736231565475464","-0.24736231565475464","-0.24736231565475464"
"292","-0.2568543255329132","-0.2568543255329132","-0.2568543255329132"
"294","-0.22873136401176453","-0.22873136401176453","-0.22873136401176453"
"296","-0.22779645025730133","-0.22779645025730133","-0.22779645025730133"
"307","-0.30706337094306946","-0.30706337094306946","-0.30706337094306946"
"309","-0.3377966284751892","-0.3377966284751892","-0.3377966284751892"
"313","-0.2456638664007187","-0.2456638664007187","-0.2456638664007187"
"315","-0.2649429738521576","-0.2649429738521576","-0.2649429738521576"
"317","-0.257858008146286","-0.257858008146286","-0.257858008146286"
"319","-0.22595271468162537","-0.22595271468162537","-0.22595271468162537"
"321","-0.26915356516838074","-0.26915356516838074","-0.26915356516838074"
"323","-0.26188546419143677","-0.26188546419143677","-0.26188546419143677"
"327","-0.2197108417749405","-0.2197108417749405","-0.2197108417749405"
"331","-0.2865278422832489","-0.2865278422832489","-0.2865278422832489"
"339","-0.21177686750888824","-0.21177686750888824","-0.21177686750888824"
"341","-0.22766058146953583","-0.22766058146953583","-0.22766058146953583"
"343","-0.231082484126091","-0.231082484126091","-0.231082484126091"
"345","-0.19311785697937012","-0.19311785697937012","-0.19311785697937012"
"347","-0.19187356531620026","-0.19187356531620026","-0.19187356531620026"
"349","-0.278560608625412","-0.278560608625412","-0.278560608625412"
"351","-0.2751491069793701","-0.2751491069793701","-0.2751491069793701"
"357","-0.26072588562965393","-0.26072588562965393","-0.26072588562965393"
"359","-0.271036297082901","-0.271036297082901","-0.271036297082901"
"363","-0.2523610293865204","-0.2523610293865204","-0.2523610293865204"
"371","-0.2630469501018524","-0.2630469501018524","-0.2630469501018524"
"373","-0.230865478515625","-0.230865478515625","-0.230865478515625"
"375","-0.22551041841506958","-0.22551041841506958","-0.22551041841506958"
"377","-0.27391180396080017","-0.27391180396080017","-0.27391180396080017"
"379","-0.2435181587934494","-0.2435181587934494","-0.2435181587934494"
"387","-0.2607196867465973","-0.2607196867465973","-0.2607196867465973"
"389","-0.27652162313461304","-0.27652162313461304","-0.27652162313461304"
"391","-0.24666084349155426","-0.24666084349155426","-0.24666084349155426"
"395","-0.27320918440818787","-0.27320918440818787","-0.27320918440818787"
"397","-0.2946106195449829","-0.2946106195449829","-0.2946106195449829"
"401","-0.22162485122680664","-0.22162485122680664","-0.22162485122680664"
"411","-0.22841516137123108","-0.22841516137123108","-0.22841516137123108"
"413","-0.245086669921875","-0.245086669921875","-0.245086669921875"
"421","-0.22414258122444153","-0.22414258122444153","-0.22414258122444153"
"423","-0.25005367398262024","-0.25005367398262024","-0.25005367398262024"
"425","-0.2870992124080658","-0.2870992124080658","-0.2870992124080658"
"427","-0.18506377935409546","-0.18506377935409546","-0.18506377935409546"
"429","-0.24542686343193054","-0.24542686343193054","-0.24542686343193054"
"431","-0.2606152296066284","-0.2606152296066284","-0.2606152296066284"
"433","-0.25041624903678894","-0.25041624903678894","-0.25041624903678894"
"435","-0.28914690017700195","-0.28914690017700195","-0.28914690017700195"
"437","-0.2367118000984192","-0.2367118000984192","-0.2367118000984192"
"439","-0.18886199593544006","-0.18886199593544006","-0.18886199593544006"
"441","-0.24542757868766785","-0.24542757868766785","-0.24542757868766785"
"449","-0.2558756470680237","-0.2558756470680237","-0.2558756470680237"
"453","-0.20650039613246918","-0.20650039613246918","-0.20650039613246918"
"461","-0.2601916193962097","-0.2601916193962097","-0.2601916193962097"
"465","-0.24198202788829803","-0.24198202788829803","-0.24198202788829803"
"467","-0.23536613583564758","-0.23536613583564758","-0.23536613583564758"
"475","-0.2636381983757019","-0.2636381983757019","-0.2636381983757019"
"479","-0.26640626788139343","-0.26640626788139343","-0.26640626788139343"
"481","-0.288686066865921","-0.288686066865921","-0.288686066865921"
"483","-0.3050168752670288","-0.3050168752670288","-0.3050168752670288"
"489","-0.2925918996334076","-0.2925918996334076","-0.2925918996334076"
"491","-0.2501397132873535","-0.2501397132873535","-0.2501397132873535"
"493","-0.26235827803611755","-0.26235827803611755","-0.26235827803611755"
"495","-0.2052711695432663","-0.2052711695432663","-0.2052711695432663"
"499","-0.18713805079460144","-0.18713805079460144","-0.18713805079460144"
"507","-0.27127206325531006","-0.27127206325531006","-0.27127206325531006"
"509","-0.24708199501037598","-0.24708199501037598","-0.24708199501037598"
"517","-0.2685467004776001","-0.2685467004776001","-0.2685467004776001"
"519","-0.22059208154678345","-0.22059208154678345","-0.22059208154678345"
"523","-0.235322043299675","-0.235322043299675","-0.235322043299675"
"525","-0.29722368717193604","-0.29722368717193604","-0.29722368717193604"
"527","-0.19748280942440033","-0.19748280942440033","-0.19748280942440033"
"531","-0.23435966670513153","-0.23435966670513153","-0.23435966670513153"
"533","-0.2959318459033966","-0.2959318459033966","-0.2959318459033966"
"535","-0.22678466141223907","-0.22678466141223907","-0.22678466141223907"
"537","-0.24467727541923523","-0.24467727541923523","-0.24467727541923523"
"539","-0.29496484994888306","-0.29496484994888306","-0.29496484994888306"
"541","-0.23980951309204102","-0.23980951309204102","-0.23980951309204102"
"543","-0.3120821714401245","-0.3120821714401245","-0.3120821714401245"
"545","-0.20290838181972504","-0.20290838181972504","-0.20290838181972504"
"547","-0.18543945252895355","-0.18543945252895355","-0.18543945252895355"
"551","-0.24313129484653473","-0.24313129484653473","-0.24313129484653473"
"553","-0.22694474458694458","-0.22694474458694458","-0.22694474458694458"
"555","-0.2357580065727234","-0.2357580065727234","-0.2357580065727234"
"557","-0.2529929578304291","-0.2529929578304291","-0.2529929578304291"
"559","-0.26566389203071594","-0.26566389203071594","-0.26566389203071594"
"561","-0.2355322539806366","-0.2355322539806366","-0.2355322539806366"
"563","-0.23628804087638855","-0.23628804087638855","-0.23628804087638855"
"565","-0.25999483466148376","-0.25999483466148376","-0.25999483466148376"
"567","-0.21388554573059082","-0.21388554573059082","-0.21388554573059082"
"569","-0.19965124130249023","-0.19965124130249023","-0.19965124130249023"
"571","-0.24679717421531677","-0.24679717421531677","-0.24679717421531677"
"573","-0.2093934565782547","-0.2093934565782547","-0.2093934565782547"
"575","-0.2707000970840454","-0.2707000970840454","-0.2707000970840454"
"581","-0.2287682294845581","-0.2287682294845581","-0.2287682294845581"
"583","-0.28620415925979614","-0.28620415925979614","-0.28620415925979614"
"587","-0.22376683354377747","-0.22376683354377747","-0.22376683354377747"
"591","-0.27168703079223633","-0.27168703079223633","-0.27168703079223633"
"593","-0.22009754180908203","-0.22009754180908203","-0.22009754180908203"
"595","-0.22469650208950043","-0.22469650208950043","-0.22469650208950043"
"597","-0.20550286769866943","-0.20550286769866943","-0.20550286769866943"
"599","-0.2652033269405365","-0.2652033269405365","-0.2652033269405365"
"601","-0.26458412408828735","-0.26458412408828735","-0.26458412408828735"
"603","-0.2081293761730194","-0.2081293761730194","-0.2081293761730194"
"607","-0.20739775896072388","-0.20739775896072388","-0.20739775896072388"
"613","-0.294692724943161","-0.294692724943161","-0.294692724943161"
"615","-0.21542459726333618","-0.21542459726333618","-0.21542459726333618"
"619","-0.21237941086292267","-0.21237941086292267","-0.21237941086292267"
"629","-0.22176691889762878","-0.22176691889762878","-0.22176691889762878"
"633","-0.22672238945960999","-0.22672238945960999","-0.22672238945960999"
"639","-0.24093802273273468","-0.24093802273273468","-0.24093802273273468"
"643","-0.24846802651882172","-0.24846802651882172","-0.24846802651882172"
"645","-0.2492304891347885","-0.2492304891347885","-0.2492304891347885"
"647","-0.21370713412761688","-0.21370713412761688","-0.21370713412761688"
"649","-0.2052176296710968","-0.2052176296710968","-0.2052176296710968"
"651","-0.27917948365211487","-0.27917948365211487","-0.27917948365211487"
"653","-0.26723769307136536","-0.26723769307136536","-0.26723769307136536"
"657","-0.27349892258644104","-0.27349892258644104","-0.27349892258644104"
"659","-0.23911942541599274","-0.23911942541599274","-0.23911942541599274"
"663","-0.22191037237644196","-0.22191037237644196","-0.22191037237644196"
"665","-0.2925119996070862","-0.2925119996070862","-0.2925119996070862"
"669","-0.23949502408504486","-0.23949502408504486","-0.23949502408504486"
"673","-0.3558531403541565","-0.3558531403541565","-0.3558531403541565"
"675","-0.16881808638572693","-0.16881808638572693","-0.16881808638572693"
"677","-0.2524099349975586","-0.2524099349975586","-0.2524099349975586"
"681","-0.25824373960494995","-0.25824373960494995","-0.25824373960494995"
"683","-0.22427408397197723","-0.22427408397197723","-0.22427408397197723"
"687","-0.21857625246047974","-0.21857625246047974","-0.21857625246047974"
"691","-0.24281544983386993","-0.24281544983386993","-0.24281544983386993"
"695","-0.20407167077064514","-0.20407167077064514","-0.20407167077064514"
"697","-0.23321683704853058","-0.23321683704853058","-0.23321683704853058"
"699","-0.24749167263507843","-0.24749167263507843","-0.24749167263507843"
"701","-0.2847583591938019","-0.2847583591938019","-0.2847583591938019"
"713","-0.20154009759426117","-0.20154009759426117","-0.20154009759426117"
"717","-0.21270418167114258","-0.21270418167114258","-0.21270418167114258"
"719","-0.2278786599636078","-0.2278786599636078","-0.2278786599636078"
"721","-0.23245561122894287","-0.23245561122894287","-0.23245561122894287"
"723","-0.20020824670791626","-0.20020824670791626","-0.20020824670791626"
"725","-0.25044503808021545","-0.25044503808021545","-0.25044503808021545"
"727","-0.17442037165164948","-0.17442037165164948","-0.17442037165164948"
"729","-0.27259135246276855","-0.27259135246276855","-0.27259135246276855"
"731","-0.23886840045452118","-0.23886840045452118","-0.23886840045452118"
"737","-0.25913143157958984","-0.25913143157958984","-0.25913143157958984"
"741","-0.21043886244297028","-0.21043886244297028","-0.21043886244297028"
"743","-0.24870869517326355","-0.24870869517326355","-0.24870869517326355"
"749","-0.25146719813346863","-0.25146719813346863","-0.25146719813346863"
"751","-0.25934115052223206","-0.25934115052223206","-0.25934115052223206"
"753","-0.25101161003112793","-0.25101161003112793","-0.25101161003112793"
"755","-0.21660107374191284","-0.21660107374191284","-0.21660107374191284"
"763","-0.23313765227794647","-0.23313765227794647","-0.23313765227794647"
"765","-0.24637046456336975","-0.24637046456336975","-0.24637046456336975"
"767","-0.2531155049800873","-0.2531155049800873","-0.2531155049800873"
"769","-0.21292845904827118","-0.21292845904827118","-0.21292845904827118"
"771","-0.24411284923553467","-0.24411284923553467","-0.24411284923553467"
"775","-0.2279842346906662","-0.2279842346906662","-0.2279842346906662"
"779","-0.2455713003873825","-0.2455713003873825","-0.2455713003873825"
"781","-0.2238173633813858","-0.2238173633813858","-0.2238173633813858"
"783","-0.22126023471355438","-0.22126023471355438","-0.22126023471355438"
"785","-0.23498158156871796","-0.23498158156871796","-0.23498158156871796"
"787","-0.2672234773635864","-0.2672234773635864","-0.2672234773635864"
"795","-0.24942485988140106","-0.24942485988140106","-0.24942485988140106"
"797","-0.2070198655128479","-0.2070198655128479","-0.2070198655128479"
"799","-0.2142035961151123","-0.2142035961151123","-0.2142035961151123"
"801","-0.2441369742155075","-0.2441369742155075","-0.2441369742155075"
"805","-0.23792077600955963","-0.23792077600955963","-0.23792077600955963"
"809","-0.24824786186218262","-0.24824786186218262","-0.24824786186218262"
"811","-0.22173836827278137","-0.22173836827278137","-0.22173836827278137"
"813","-0.2746087312698364","-0.2746087312698364","-0.2746087312698364"
"815","-0.2252386063337326","-0.2252386063337326","-0.2252386063337326"
"817","-0.2575239837169647","-0.2575239837169647","-0.2575239837169647"
"819","-0.285022497177124","-0.285022497177124","-0.285022497177124"
"821","-0.30683788657188416","-0.30683788657188416","-0.30683788657188416"
"829","-0.3142266869544983","-0.3142266869544983","-0.3142266869544983"
"831","-0.2760133743286133","-0.2760133743286133","-0.2760133743286133"
"833","-0.24775975942611694","-0.24775975942611694","-0.24775975942611694"
"835","-0.2025613784790039","-0.2025613784790039","-0.2025613784790039"
"837","-0.2716883420944214","-0.2716883420944214","-0.2716883420944214"
"839","-0.25792235136032104","-0.25792235136032104","-0.25792235136032104"
"841","-0.19196772575378418","-0.19196772575378418","-0.19196772575378418"
"845","-0.2619636356830597","-0.2619636356830597","-0.2619636356830597"
"847","-0.3041541576385498","-0.3041541576385498","-0.3041541576385498"
"851","-0.3410245478153229","-0.3410245478153229","-0.3410245478153229"
"853","-0.3466317057609558","-0.3466317057609558","-0.3466317057609558"
"855","-0.3443610668182373","-0.3443610668182373","-0.3443610668182373"
"857","-0.33203059434890747","-0.33203059434890747","-0.33203059434890747"
"861","-0.3281586468219757","-0.3281586468219757","-0.3281586468219757"
"863","-0.3366808593273163","-0.3366808593273163","-0.3366808593273163"
"867","-0.2285926342010498","-0.2285926342010498","-0.2285926342010498"
"871","-0.32277584075927734","-0.32277584075927734","-0.32277584075927734"
"873","-0.2514897286891937","-0.2514897286891937","-0.2514897286891937"
"875","-0.24320939183235168","-0.24320939183235168","-0.24320939183235168"
"877","-0.23955559730529785","-0.23955559730529785","-0.23955559730529785"
"879","-0.2275342494249344","-0.2275342494249344","-0.2275342494249344"
"883","-0.25122302770614624","-0.25122302770614624","-0.25122302770614624"
"887","-0.24246232211589813","-0.24246232211589813","-0.24246232211589813"
"889","-0.2512848973274231","-0.2512848973274231","-0.2512848973274231"
"893","-0.21447157859802246","-0.21447157859802246","-0.21447157859802246"
"895","-0.15990042686462402","-0.15990042686462402","-0.15990042686462402"
"897","-0.1560429483652115","-0.1560429483652115","-0.1560429483652115"
"899","-0.26683351397514343","-0.26683351397514343","-0.26683351397514343"
"905","-0.2364533245563507","-0.2364533245563507","-0.2364533245563507"
"907","-0.2882198393344879","-0.2882198393344879","-0.2882198393344879"
"909","-0.17165613174438477","-0.17165613174438477","-0.17165613174438477"
"913","-0.15862321853637695","-0.15862321853637695","-0.15862321853637695"
"915","-0.23048357665538788","-0.23048357665538788","-0.23048357665538788"
"925","-0.21855615079402924","-0.21855615079402924","-0.21855615079402924"
"927","-0.22925536334514618","-0.22925536334514618","-0.22925536334514618"
"929","-0.20756275951862335","-0.20756275951862335","-0.20756275951862335"
"931","-0.16473445296287537","-0.16473445296287537","-0.16473445296287537"
"933","-0.2428232878446579","-0.2428232878446579","-0.2428232878446579"
"935","-0.2498873472213745","-0.2498873472213745","-0.2498873472213745"
"937","-0.1967518925666809","-0.1967518925666809","-0.1967518925666809"
"941","-0.218652606010437","-0.218652606010437","-0.218652606010437"
"943","-0.30333399772644043","-0.30333399772644043","-0.30333399772644043"
"947","-0.2331421971321106","-0.2331421971321106","-0.2331421971321106"
"953","-0.2314639538526535","-0.2314639538526535","-0.2314639538526535"
"955","-0.20881421864032745","-0.20881421864032745","-0.20881421864032745"
"959","-0.19957461953163147","-0.19957461953163147","-0.19957461953163147"
"961","-0.23714952170848846","-0.23714952170848846","-0.23714952170848846"
"963","-0.23405323922634125","-0.23405323922634125","-0.23405323922634125"
"969","-0.22703930735588074","-0.22703930735588074","-0.22703930735588074"
"971","-0.19622927904129028","-0.19622927904129028","-0.19622927904129028"
"973","-0.23321686685085297","-0.23321686685085297","-0.23321686685085297"
"975","-0.17710457742214203","-0.17710457742214203","-0.17710457742214203"
"979","-0.22354978322982788","-0.22354978322982788","-0.22354978322982788"
"981","-0.21971933543682098","-0.21971933543682098","-0.21971933543682098"
"983","-0.2240658402442932","-0.2240658402442932","-0.2240658402442932"
"987","-0.190003901720047","-0.190003901720047","-0.190003901720047"
"989","-0.24289731681346893","-0.24289731681346893","-0.24289731681346893"
"991","-0.20966701209545135","-0.20966701209545135","-0.20966701209545135"
"993","-0.14769519865512848","-0.14769519865512848","-0.14769519865512848"
