"Step","still-disco-8 - Smallest CBF constraint(unfiltered)","still-disco-8 - Smallest CBF constraint(unfiltered)__MIN","still-disco-8 - Smallest CBF constraint(unfiltered)__MAX"
"126","-1.6432843208312988","-1.6432843208312988","-1.6432843208312988"
"130","-2.025073528289795","-2.025073528289795","-2.025073528289795"
"132","-1.8691513538360596","-1.8691513538360596","-1.8691513538360596"
"134","-1.5641709566116333","-1.5641709566116333","-1.5641709566116333"
"136","-1.9174678325653076","-1.9174678325653076","-1.9174678325653076"
"142","-2.0382018089294434","-2.0382018089294434","-2.0382018089294434"
"144","-1.870598554611206","-1.870598554611206","-1.870598554611206"
"156","-1.9127094745635986","-1.9127094745635986","-1.9127094745635986"
"158","-1.6496293544769287","-1.6496293544769287","-1.6496293544769287"
"162","-1.8907341957092285","-1.8907341957092285","-1.8907341957092285"
"164","-1.6490452289581299","-1.6490452289581299","-1.6490452289581299"
"166","-1.6541111469268799","-1.6541111469268799","-1.6541111469268799"
"170","-1.836130976676941","-1.836130976676941","-1.836130976676941"
"172","-1.9872173070907593","-1.9872173070907593","-1.9872173070907593"
"178","-1.8215553760528564","-1.8215553760528564","-1.8215553760528564"
"182","-1.9068270921707153","-1.9068270921707153","-1.9068270921707153"
"184","-1.9294673204421997","-1.9294673204421997","-1.9294673204421997"
"186","-1.9968376159667969","-1.9968376159667969","-1.9968376159667969"
"190","-1.8749394416809082","-1.8749394416809082","-1.8749394416809082"
"194","-1.6624706983566284","-1.6624706983566284","-1.6624706983566284"
"196","-1.5825395584106445","-1.5825395584106445","-1.5825395584106445"
"198","-1.636468768119812","-1.636468768119812","-1.636468768119812"
"202","-2.018968343734741","-2.018968343734741","-2.018968343734741"
"204","-1.6929627656936646","-1.6929627656936646","-1.6929627656936646"
"208","-1.3382091522216797","-1.3382091522216797","-1.3382091522216797"
"210","-1.4488543272018433","-1.4488543272018433","-1.4488543272018433"
"212","-1.9994244575500488","-1.9994244575500488","-1.9994244575500488"
"214","-1.9245656728744507","-1.9245656728744507","-1.9245656728744507"
"218","-2.004394292831421","-2.004394292831421","-2.004394292831421"
"220","-1.7790889739990234","-1.7790889739990234","-1.7790889739990234"
"222","-1.7917189598083496","-1.7917189598083496","-1.7917189598083496"
"224","-1.6327394247055054","-1.6327394247055054","-1.6327394247055054"
"230","-1.674331545829773","-1.674331545829773","-1.674331545829773"
"232","-1.7673283815383911","-1.7673283815383911","-1.7673283815383911"
"234","-1.8904310464859009","-1.8904310464859009","-1.8904310464859009"
"236","-1.890042781829834","-1.890042781829834","-1.890042781829834"
"238","-1.899329423904419","-1.899329423904419","-1.899329423904419"
"240","-1.9896425008773804","-1.9896425008773804","-1.9896425008773804"
"244","-1.868593454360962","-1.868593454360962","-1.868593454360962"
"248","-1.5303170680999756","-1.5303170680999756","-1.5303170680999756"
"250","-1.8879084587097168","-1.8879084587097168","-1.8879084587097168"
"252","-2.0025362968444824","-2.0025362968444824","-2.0025362968444824"
"258","-1.7984285354614258","-1.7984285354614258","-1.7984285354614258"
"260","-1.4013103246688843","-1.4013103246688843","-1.4013103246688843"
"264","-1.954345941543579","-1.954345941543579","-1.954345941543579"
"270","-1.6684186458587646","-1.6684186458587646","-1.6684186458587646"
"272","-1.556061029434204","-1.556061029434204","-1.556061029434204"
"276","-2.08284854888916","-2.08284854888916","-2.08284854888916"
"288","-1.6115862131118774","-1.6115862131118774","-1.6115862131118774"
"290","-1.6480522155761719","-1.6480522155761719","-1.6480522155761719"
"296","-1.7873646020889282","-1.7873646020889282","-1.7873646020889282"
"300","-1.6911364793777466","-1.6911364793777466","-1.6911364793777466"
"309","-2.0067801475524902","-2.0067801475524902","-2.0067801475524902"
"311","-1.905322551727295","-1.905322551727295","-1.905322551727295"
"315","-1.9919403791427612","-1.9919403791427612","-1.9919403791427612"
"319","-1.9196972846984863","-1.9196972846984863","-1.9196972846984863"
"321","-2.061884880065918","-2.061884880065918","-2.061884880065918"
"327","-1.4604254961013794","-1.4604254961013794","-1.4604254961013794"
"329","-1.791938304901123","-1.791938304901123","-1.791938304901123"
"337","-1.9111378192901611","-1.9111378192901611","-1.9111378192901611"
"339","-1.8982865810394287","-1.8982865810394287","-1.8982865810394287"
"341","-1.6278753280639648","-1.6278753280639648","-1.6278753280639648"
"343","-1.8006154298782349","-1.8006154298782349","-1.8006154298782349"
"347","-1.909339189529419","-1.909339189529419","-1.909339189529419"
"351","-1.9382407665252686","-1.9382407665252686","-1.9382407665252686"
"353","-2.023367404937744","-2.023367404937744","-2.023367404937744"
"357","-1.9783015251159668","-1.9783015251159668","-1.9783015251159668"
"361","-1.7820340394973755","-1.7820340394973755","-1.7820340394973755"
"363","-2.0366804599761963","-2.0366804599761963","-2.0366804599761963"
"365","-1.9220759868621826","-1.9220759868621826","-1.9220759868621826"
"367","-1.7903273105621338","-1.7903273105621338","-1.7903273105621338"
"371","-2.0449936389923096","-2.0449936389923096","-2.0449936389923096"
"373","-1.6941165924072266","-1.6941165924072266","-1.6941165924072266"
"377","-2.0120296478271484","-2.0120296478271484","-2.0120296478271484"
"379","-1.623464584350586","-1.623464584350586","-1.623464584350586"
"385","-1.7216143608093262","-1.7216143608093262","-1.7216143608093262"
"397","-1.8698136806488037","-1.8698136806488037","-1.8698136806488037"
"399","-1.6411831378936768","-1.6411831378936768","-1.6411831378936768"
"403","-1.8273389339447021","-1.8273389339447021","-1.8273389339447021"
"405","-2.020328998565674","-2.020328998565674","-2.020328998565674"
"411","-1.7485119104385376","-1.7485119104385376","-1.7485119104385376"
"413","-1.9202648401260376","-1.9202648401260376","-1.9202648401260376"
"417","-1.9042631387710571","-1.9042631387710571","-1.9042631387710571"
"419","-2.0152597427368164","-2.0152597427368164","-2.0152597427368164"
"423","-1.8249080181121826","-1.8249080181121826","-1.8249080181121826"
"425","-1.9022297859191895","-1.9022297859191895","-1.9022297859191895"
"429","-2.0484726428985596","-2.0484726428985596","-2.0484726428985596"
"431","-1.810927152633667","-1.810927152633667","-1.810927152633667"
"433","-1.8257367610931396","-1.8257367610931396","-1.8257367610931396"
"437","-1.834700107574463","-1.834700107574463","-1.834700107574463"
"443","-1.9639431238174438","-1.9639431238174438","-1.9639431238174438"
"445","-1.9314038753509521","-1.9314038753509521","-1.9314038753509521"
"459","-1.5283273458480835","-1.5283273458480835","-1.5283273458480835"
"461","-1.8412144184112549","-1.8412144184112549","-1.8412144184112549"
"463","-1.5143271684646606","-1.5143271684646606","-1.5143271684646606"
