"Step","still-disco-8 - global_step","still-disco-8 - global_step__MIN","still-disco-8 - global_step__MAX"
"7773","917504","917504","917504"
"7774","933888","933888","933888"
"7775","933888","933888","933888"
"7776","933888","933888","933888"
"8073","933888","933888","933888"
"8074","950272","950272","950272"
"8075","950272","950272","950272"
"8076","950272","950272","950272"
"8077","950272","950272","950272"
"8078","966656","966656","966656"
"8079","966656","966656","966656"
"8080","966656","966656","966656"
"8100","966656","966656","966656"
"8101","983040","983040","983040"
"8102","983040","983040","983040"
"8103","983040","983040","983040"
"8417","983040","983040","983040"
"8418","999424","999424","999424"
"8419","999424","999424","999424"
"8420","999424","999424","999424"
"8421","999424","999424","999424"
"8422","1015808","1015808","1015808"
"8423","1015808","1015808","1015808"
"8424","1015808","1015808","1015808"
"8738","1015808","1015808","1015808"
"8739","1032192","1032192","1032192"
"8740","1032192","1032192","1032192"
"8741","1032192","1032192","1032192"
"8742","1032192","1032192","1032192"
"8743","1048576","1048576","1048576"
"8744","1048576","1048576","1048576"
"8745","1048576","1048576","1048576"
"8751","1048576","1048576","1048576"
"8752","1064960","1064960","1064960"
"8753","1064960","1064960","1064960"
"8754","1064960","1064960","1064960"
"9068","1064960","1064960","1064960"
"9069","1081344","1081344","1081344"
"9070","1081344","1081344","1081344"
"9071","1081344","1081344","1081344"
"9072","1081344","1081344","1081344"
"9073","1097728","1097728","1097728"
"9074","1097728","1097728","1097728"
"9075","1097728","1097728","1097728"
"9391","1097728","1097728","1097728"
"9392","1114112","1114112","1114112"
"9393","1114112","1114112","1114112"
"9394","1114112","1114112","1114112"
"9395","1114112","1114112","1114112"
"9396","1130496","1130496","1130496"
"9397","1130496","1130496","1130496"
"9398","1130496","1130496","1130496"
"9661","1130496","1130496","1130496"
"9662","1146880","1146880","1146880"
"9663","1146880","1146880","1146880"
"9664","1146880","1146880","1146880"
"9665","1146880","1146880","1146880"
"9666","1163264","1163264","1163264"
"9667","1163264","1163264","1163264"
"9668","1163264","1163264","1163264"
"9722","1163264","1163264","1163264"
"9723","1179648","1179648","1179648"
"9724","1179648","1179648","1179648"
"9725","1179648","1179648","1179648"
"10042","1179648","1179648","1179648"
"10043","1196032","1196032","1196032"
"10044","1196032","1196032","1196032"
"10045","1196032","1196032","1196032"
"10046","1196032","1196032","1196032"
"10047","1212416","1212416","1212416"
"10048","1212416","1212416","1212416"
"10049","1212416","1212416","1212416"
"10320","1212416","1212416","1212416"
"10321","1228800","1228800","1228800"
"10322","1228800","1228800","1228800"
"10323","1228800","1228800","1228800"
"10324","1228800","1228800","1228800"
"10325","1245184","1245184","1245184"
"10326","1245184","1245184","1245184"
"10327","1245184","1245184","1245184"
"10373","1245184","1245184","1245184"
"10374","1261568","1261568","1261568"
"10375","1261568","1261568","1261568"
"10376","1261568","1261568","1261568"
"10685","1261568","1261568","1261568"
"10686","1277952","1277952","1277952"
"10687","1277952","1277952","1277952"
"10688","1277952","1277952","1277952"
"10689","1277952","1277952","1277952"
"10690","1294336","1294336","1294336"
"10691","1294336","1294336","1294336"
"10692","1294336","1294336","1294336"
