"Step","still-disco-8 - step_crash","still-disco-8 - step_crash__MIN","still-disco-8 - step_crash__MAX"
"1200","11","11","11"
"1204","9","9","9"
"1206","13","13","13"
"1208","12","12","12"
"1210","18","18","18"
"1218","15","15","15"
"1220","8","8","8"
"1222","11","11","11"
"1226","11","11","11"
"1228","9","9","9"
"1230","18","18","18"
"1232","8","8","8"
"1244","14","14","14"
"1246","12","12","12"
"1252","14","14","14"
"1258","12","12","12"
"1260","7","7","7"
"1262","14","14","14"
"1264","10","10","10"
"1268","21","21","21"
"1270","9","9","9"
"1280","10","10","10"
"1282","7","7","7"
"1284","14","14","14"
"1286","11","11","11"
"1288","15","15","15"
"1290","9","9","9"
"1292","12","12","12"
"1298","9","9","9"
"1300","7","7","7"
"1302","17","17","17"
"1308","18","18","18"
"1312","5","5","5"
"1314","15","15","15"
"1316","17","17","17"
"1322","6","6","6"
"1324","10","10","10"
"1330","11","11","11"
"1334","8","8","8"
"1336","17","17","17"
"1342","13","13","13"
"1348","13","13","13"
"1350","12","12","12"
"1352","10","10","10"
"1356","10","10","10"
"1358","7","7","7"
"1360","13","13","13"
"1368","12","12","12"
"1370","14","14","14"
"1374","8","8","8"
"1376","9","9","9"
"1378","9","9","9"
"1384","11","11","11"
"1390","16","16","16"
"1392","9","9","9"
"1394","10","10","10"
"1398","9","9","9"
"1404","10","10","10"
"1406","10","10","10"
"1412","7","7","7"
"1414","18","18","18"
"1418","8","8","8"
"1420","15","15","15"
"1424","10","10","10"
"1426","11","11","11"
"1428","10","10","10"
"1432","13","13","13"
"1434","12","12","12"
"1442","12","12","12"
"1446","12","12","12"
"1450","18","18","18"
"1452","7","7","7"
"1462","10","10","10"
"1464","10","10","10"
"1472","13","13","13"
"1476","12","12","12"
"1478","11","11","11"
"1482","10","10","10"
"1484","3","3","3"
"1486","8","8","8"
"1488","9","9","9"
"1490","9","9","9"
"1492","11","11","11"
"1504","9","9","9"
"1508","9","9","9"
"1510","8","8","8"
"1512","15","15","15"
"1514","12","12","12"
"1516","10","10","10"
"1518","10","10","10"
"1520","15","15","15"
"1522","17","17","17"
"1524","13","13","13"
"1526","8","8","8"
"1528","18","18","18"
"1532","10","10","10"
"1534","10","10","10"
"1538","11","11","11"
"1540","8","8","8"
"1542","7","7","7"
"1548","14","14","14"
"1552","11","11","11"
"1558","4","4","4"
"1578","9","9","9"
"1584","15","15","15"
"1586","4","4","4"
"1588","7","7","7"
"1598","11","11","11"
"1600","13","13","13"
"1602","19","19","19"
"1608","10","10","10"
"1610","10","10","10"
"1612","14","14","14"
"1614","8","8","8"
"1616","9","9","9"
"1620","14","14","14"
"1622","7","7","7"
"1624","13","13","13"
"1626","8","8","8"
"1628","12","12","12"
"1632","4","4","4"
"1636","11","11","11"
"1642","9","9","9"
"1646","7","7","7"
"1650","10","10","10"
"1652","15","15","15"
"1656","7","7","7"
"1658","7","7","7"
"1660","11","11","11"
"1668","13","13","13"
"1670","10","10","10"
"1672","10","10","10"
"1674","9","9","9"
"1676","6","6","6"
"1678","10","10","10"
"1680","9","9","9"
"1682","14","14","14"
"1688","14","14","14"
"1690","8","8","8"
"1696","12","12","12"
"1698","12","12","12"
"1700","10","10","10"
"1702","11","11","11"
"1706","13","13","13"
"1708","8","8","8"
"1712","17","17","17"
"1714","14","14","14"
"1716","8","8","8"
"1718","9","9","9"
"1722","10","10","10"
"1728","8","8","8"
"1732","7","7","7"
"1738","11","11","11"
"1740","7","7","7"
"1744","12","12","12"
"1746","11","11","11"
"1752","7","7","7"
"1756","14","14","14"
"1760","14","14","14"
"1762","10","10","10"
"1764","8","8","8"
"1770","4","4","4"
"1776","14","14","14"
"1782","15","15","15"
"1784","7","7","7"
"1786","13","13","13"
"1788","10","10","10"
"1802","10","10","10"
"1806","11","11","11"
"1808","9","9","9"
