"Step","still-disco-8 - Smallest CBF value","still-disco-8 - Smallest CBF value__MIN","still-disco-8 - Smallest CBF value__MAX"
"146","-0.21652524173259735","-0.21652524173259735","-0.21652524173259735"
"148","-0.26420828700065613","-0.26420828700065613","-0.26420828700065613"
"150","-0.21809707581996918","-0.21809707581996918","-0.21809707581996918"
"154","-0.2524888217449188","-0.2524888217449188","-0.2524888217449188"
"158","-0.26043701171875","-0.26043701171875","-0.26043701171875"
"160","-0.2501794099807739","-0.2501794099807739","-0.2501794099807739"
"162","-0.3246317505836487","-0.3246317505836487","-0.3246317505836487"
"166","-0.25062456727027893","-0.25062456727027893","-0.25062456727027893"
"168","-0.3068818747997284","-0.3068818747997284","-0.3068818747997284"
"170","-0.24917785823345184","-0.24917785823345184","-0.24917785823345184"
"176","-0.24604696035385132","-0.24604696035385132","-0.24604696035385132"
"180","-0.21776050329208374","-0.21776050329208374","-0.21776050329208374"
"182","-0.2380676567554474","-0.2380676567554474","-0.2380676567554474"
"184","-0.22571200132369995","-0.22571200132369995","-0.22571200132369995"
"186","-0.2547340393066406","-0.2547340393066406","-0.2547340393066406"
"188","-0.21722456812858582","-0.21722456812858582","-0.21722456812858582"
"192","-0.23619799315929413","-0.23619799315929413","-0.23619799315929413"
"194","-0.2827870845794678","-0.2827870845794678","-0.2827870845794678"
"196","-0.2501293420791626","-0.2501293420791626","-0.2501293420791626"
"200","-0.23913957178592682","-0.23913957178592682","-0.23913957178592682"
"202","-0.2357226461172104","-0.2357226461172104","-0.2357226461172104"
"206","-0.27476200461387634","-0.27476200461387634","-0.27476200461387634"
"210","-0.17479075491428375","-0.17479075491428375","-0.17479075491428375"
"212","-0.2815988063812256","-0.2815988063812256","-0.2815988063812256"
"218","-0.23903261125087738","-0.23903261125087738","-0.23903261125087738"
"220","-0.2958414852619171","-0.2958414852619171","-0.2958414852619171"
"222","-0.2946036159992218","-0.2946036159992218","-0.2946036159992218"
"226","-0.2667972147464752","-0.2667972147464752","-0.2667972147464752"
"228","-0.26543378829956055","-0.26543378829956055","-0.26543378829956055"
"236","-0.23469389975070953","-0.23469389975070953","-0.23469389975070953"
"240","-0.236922487616539","-0.236922487616539","-0.236922487616539"
"242","-0.2882815897464752","-0.2882815897464752","-0.2882815897464752"
"248","-0.1991003155708313","-0.1991003155708313","-0.1991003155708313"
"254","-0.2687165141105652","-0.2687165141105652","-0.2687165141105652"
"260","-0.22870145738124847","-0.22870145738124847","-0.22870145738124847"
"264","-0.24972306191921234","-0.24972306191921234","-0.24972306191921234"
"270","-0.2673490345478058","-0.2673490345478058","-0.2673490345478058"
"272","-0.254296213388443","-0.254296213388443","-0.254296213388443"
"274","-0.23435622453689575","-0.23435622453689575","-0.23435622453689575"
"284","-0.21690183877944946","-0.21690183877944946","-0.21690183877944946"
"288","-0.2568528354167938","-0.2568528354167938","-0.2568528354167938"
"292","-0.2690473198890686","-0.2690473198890686","-0.2690473198890686"
"294","-0.2697996497154236","-0.2697996497154236","-0.2697996497154236"
"298","-0.23099744319915771","-0.23099744319915771","-0.23099744319915771"
"300","-0.24690379202365875","-0.24690379202365875","-0.24690379202365875"
"311","-0.25315243005752563","-0.25315243005752563","-0.25315243005752563"
"313","-0.22823947668075562","-0.22823947668075562","-0.22823947668075562"
"315","-0.2284303456544876","-0.2284303456544876","-0.2284303456544876"
"317","-0.28313589096069336","-0.28313589096069336","-0.28313589096069336"
"323","-0.2799850106239319","-0.2799850106239319","-0.2799850106239319"
"325","-0.2117689698934555","-0.2117689698934555","-0.2117689698934555"
"327","-0.2654310464859009","-0.2654310464859009","-0.2654310464859009"
"329","-0.22994935512542725","-0.22994935512542725","-0.22994935512542725"
"331","-0.2234080284833908","-0.2234080284833908","-0.2234080284833908"
"333","-0.21830512583255768","-0.21830512583255768","-0.21830512583255768"
"335","-0.2577592730522156","-0.2577592730522156","-0.2577592730522156"
