"Step","resilient-blaze-9 - Smallest CBF constraint(unfiltered)","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MIN","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MAX"
"292","-1.2540117502212524","-1.2540117502212524","-1.2540117502212524"
"303","-1.5820682048797607","-1.5820682048797607","-1.5820682048797607"
"305","-1.3816992044448853","-1.3816992044448853","-1.3816992044448853"
"307","-1.7549545764923096","-1.7549545764923096","-1.7549545764923096"
"309","-1.0338197946548462","-1.0338197946548462","-1.0338197946548462"
"315","-1.309084415435791","-1.309084415435791","-1.309084415435791"
"317","-1.2846063375473022","-1.2846063375473022","-1.2846063375473022"
"319","-1.4377155303955078","-1.4377155303955078","-1.4377155303955078"
"321","-1.6274406909942627","-1.6274406909942627","-1.6274406909942627"
"325","-1.295844554901123","-1.295844554901123","-1.295844554901123"
"327","-1.232811450958252","-1.232811450958252","-1.232811450958252"
"329","-1.242077350616455","-1.242077350616455","-1.242077350616455"
"335","-1.1171637773513794","-1.1171637773513794","-1.1171637773513794"
"341","-1.56669020652771","-1.56669020652771","-1.56669020652771"
"347","-1.365922212600708","-1.365922212600708","-1.365922212600708"
"351","-1.4245645999908447","-1.4245645999908447","-1.4245645999908447"
"355","-1.3258129358291626","-1.3258129358291626","-1.3258129358291626"
"361","-1.7542322874069214","-1.7542322874069214","-1.7542322874069214"
"363","-1.4780064821243286","-1.4780064821243286","-1.4780064821243286"
"365","-1.4580192565917969","-1.4580192565917969","-1.4580192565917969"
"367","-1.6729683876037598","-1.6729683876037598","-1.6729683876037598"
"371","-1.6211297512054443","-1.6211297512054443","-1.6211297512054443"
"375","-1.6226379871368408","-1.6226379871368408","-1.6226379871368408"
"377","-1.6527516841888428","-1.6527516841888428","-1.6527516841888428"
"379","-1.4298553466796875","-1.4298553466796875","-1.4298553466796875"
"381","-1.6746820211410522","-1.6746820211410522","-1.6746820211410522"
"385","-1.1977970600128174","-1.1977970600128174","-1.1977970600128174"
"387","-1.3426353931427002","-1.3426353931427002","-1.3426353931427002"
"389","-1.5093636512756348","-1.5093636512756348","-1.5093636512756348"
"391","-1.1339792013168335","-1.1339792013168335","-1.1339792013168335"
"393","-0.807920515537262","-0.807920515537262","-0.807920515537262"
"395","-1.3929146528244019","-1.3929146528244019","-1.3929146528244019"
"403","-1.649471640586853","-1.649471640586853","-1.649471640586853"
"407","-0.8376308679580688","-0.8376308679580688","-0.8376308679580688"
"409","-1.6594418287277222","-1.6594418287277222","-1.6594418287277222"
"413","-0.6973885297775269","-0.6973885297775269","-0.6973885297775269"
"415","-1.3456188440322876","-1.3456188440322876","-1.3456188440322876"
"421","-1.4825643301010132","-1.4825643301010132","-1.4825643301010132"
"423","-1.1757477521896362","-1.1757477521896362","-1.1757477521896362"
"427","-0.798363983631134","-0.798363983631134","-0.798363983631134"
"439","-1.7990272045135498","-1.7990272045135498","-1.7990272045135498"
"443","-0.9423089623451233","-0.9423089623451233","-0.9423089623451233"
"445","-1.1952545642852783","-1.1952545642852783","-1.1952545642852783"
"449","-1.419999361038208","-1.419999361038208","-1.419999361038208"
"453","-0.8030949831008911","-0.8030949831008911","-0.8030949831008911"
