"Step","resilient-blaze-9 - Smallest CBF value","resilient-blaze-9 - Smallest CBF value__MIN","resilient-blaze-9 - Smallest CBF value__MAX"
"435","-0.3012636601924896","-0.3012636601924896","-0.3012636601924896"
"437","-0.26473528146743774","-0.26473528146743774","-0.26473528146743774"
"439","-0.29736658930778503","-0.29736658930778503","-0.29736658930778503"
"441","-0.3168781101703644","-0.3168781101703644","-0.3168781101703644"
"443","-0.28081056475639343","-0.28081056475639343","-0.28081056475639343"
"453","-0.36299431324005127","-0.36299431324005127","-0.36299431324005127"
"457","-0.3256083130836487","-0.3256083130836487","-0.3256083130836487"
"463","-0.32684677839279175","-0.32684677839279175","-0.32684677839279175"
"473","-0.3633139729499817","-0.3633139729499817","-0.3633139729499817"
"475","-0.27171850204467773","-0.27171850204467773","-0.27171850204467773"
"479","-0.28259167075157166","-0.28259167075157166","-0.28259167075157166"
"483","-0.27116629481315613","-0.27116629481315613","-0.27116629481315613"
"485","-0.30793318152427673","-0.30793318152427673","-0.30793318152427673"
"493","-0.29815706610679626","-0.29815706610679626","-0.29815706610679626"
"495","-0.27621322870254517","-0.27621322870254517","-0.27621322870254517"
"499","-0.2618900537490845","-0.2618900537490845","-0.2618900537490845"
"501","-0.28549858927726746","-0.28549858927726746","-0.28549858927726746"
"503","-0.29368481040000916","-0.29368481040000916","-0.29368481040000916"
"505","-0.31264403462409973","-0.31264403462409973","-0.31264403462409973"
"507","-0.29823821783065796","-0.29823821783065796","-0.29823821783065796"
"509","-0.3217097818851471","-0.3217097818851471","-0.3217097818851471"
"519","-0.27377939224243164","-0.27377939224243164","-0.27377939224243164"
"521","-0.3047577440738678","-0.3047577440738678","-0.3047577440738678"
"523","-0.32878825068473816","-0.32878825068473816","-0.32878825068473816"
"525","-0.31490814685821533","-0.31490814685821533","-0.31490814685821533"
"529","-0.2784026265144348","-0.2784026265144348","-0.2784026265144348"
"531","-0.30265575647354126","-0.30265575647354126","-0.30265575647354126"
"533","-0.3327874541282654","-0.3327874541282654","-0.3327874541282654"
"535","-0.29765623807907104","-0.29765623807907104","-0.29765623807907104"
"545","-0.337583065032959","-0.337583065032959","-0.337583065032959"
"551","-0.31444719433784485","-0.31444719433784485","-0.31444719433784485"
"555","-0.27977630496025085","-0.27977630496025085","-0.27977630496025085"
"565","-0.29659217596054077","-0.29659217596054077","-0.29659217596054077"
"569","-0.3239924907684326","-0.3239924907684326","-0.3239924907684326"
"575","-0.30798617005348206","-0.30798617005348206","-0.30798617005348206"
"577","-0.2356036752462387","-0.2356036752462387","-0.2356036752462387"
"581","-0.32036125659942627","-0.32036125659942627","-0.32036125659942627"
"583","-0.28834068775177","-0.28834068775177","-0.28834068775177"
"585","-0.33602240681648254","-0.33602240681648254","-0.33602240681648254"
"591","-0.3325045704841614","-0.3325045704841614","-0.3325045704841614"
"595","-0.30273106694221497","-0.30273106694221497","-0.30273106694221497"
"597","-0.31203821301460266","-0.31203821301460266","-0.31203821301460266"
"609","-0.3090135455131531","-0.3090135455131531","-0.3090135455131531"
"611","-0.28641366958618164","-0.28641366958618164","-0.28641366958618164"
"613","-0.29856619238853455","-0.29856619238853455","-0.29856619238853455"
"623","-0.30091530084609985","-0.30091530084609985","-0.30091530084609985"
"625","-0.29872363805770874","-0.29872363805770874","-0.29872363805770874"
"627","-0.28967759013175964","-0.28967759013175964","-0.28967759013175964"
"631","-0.2869468629360199","-0.2869468629360199","-0.2869468629360199"
"633","-0.2697244882583618","-0.2697244882583618","-0.2697244882583618"
"635","-0.27829113602638245","-0.27829113602638245","-0.27829113602638245"
"637","-0.2901816964149475","-0.2901816964149475","-0.2901816964149475"
"641","-0.34323617815971375","-0.34323617815971375","-0.34323617815971375"
"645","-0.2883448600769043","-0.2883448600769043","-0.2883448600769043"
"647","-0.31254008412361145","-0.31254008412361145","-0.31254008412361145"
"649","-0.31594324111938477","-0.31594324111938477","-0.31594324111938477"
"651","-0.29227831959724426","-0.29227831959724426","-0.29227831959724426"
"655","-0.23357440531253815","-0.23357440531253815","-0.23357440531253815"
"661","-0.30169832706451416","-0.30169832706451416","-0.30169832706451416"
"665","-0.3498591184616089","-0.3498591184616089","-0.3498591184616089"
"669","-0.2818910479545593","-0.2818910479545593","-0.2818910479545593"
"679","-0.2686088979244232","-0.2686088979244232","-0.2686088979244232"
"681","-0.22358468174934387","-0.22358468174934387","-0.22358468174934387"
"683","-0.3103589415550232","-0.3103589415550232","-0.3103589415550232"
"685","-0.2743581235408783","-0.2743581235408783","-0.2743581235408783"
"687","-0.24272112548351288","-0.24272112548351288","-0.24272112548351288"
"689","-0.21152231097221375","-0.21152231097221375","-0.21152231097221375"
"695","-0.2520022690296173","-0.2520022690296173","-0.2520022690296173"
"699","-0.28863218426704407","-0.28863218426704407","-0.28863218426704407"
"707","-0.3216284215450287","-0.3216284215450287","-0.3216284215450287"
"711","-0.3083985149860382","-0.3083985149860382","-0.3083985149860382"
"713","-0.328511118888855","-0.328511118888855","-0.328511118888855"
"715","-0.27026739716529846","-0.27026739716529846","-0.27026739716529846"
"717","-0.35116249322891235","-0.35116249322891235","-0.35116249322891235"
"721","-0.28836965560913086","-0.28836965560913086","-0.28836965560913086"
"723","-0.31813472509384155","-0.31813472509384155","-0.31813472509384155"
"725","-0.3141520917415619","-0.3141520917415619","-0.3141520917415619"
"733","-0.3046892583370209","-0.3046892583370209","-0.3046892583370209"
"735","-0.34315481781959534","-0.34315481781959534","-0.34315481781959534"
"749","-0.3355152904987335","-0.3355152904987335","-0.3355152904987335"
"751","-0.30999884009361267","-0.30999884009361267","-0.30999884009361267"
"755","-0.31835412979125977","-0.31835412979125977","-0.31835412979125977"
"757","-0.3228169083595276","-0.3228169083595276","-0.3228169083595276"
"759","-0.337415874004364","-0.337415874004364","-0.337415874004364"
"773","-0.21458019316196442","-0.21458019316196442","-0.21458019316196442"
"777","-0.24894359707832336","-0.24894359707832336","-0.24894359707832336"
"779","-0.3192368745803833","-0.3192368745803833","-0.3192368745803833"
"781","-0.28989177942276","-0.28989177942276","-0.28989177942276"
"785","-0.32209843397140503","-0.32209843397140503","-0.32209843397140503"
"787","-0.22171640396118164","-0.22171640396118164","-0.22171640396118164"
"791","-0.26160165667533875","-0.26160165667533875","-0.26160165667533875"
"793","-0.2750048339366913","-0.2750048339366913","-0.2750048339366913"
"795","-0.22186622023582458","-0.22186622023582458","-0.22186622023582458"
"799","-0.2891066372394562","-0.2891066372394562","-0.2891066372394562"
"801","-0.3106791377067566","-0.3106791377067566","-0.3106791377067566"
"803","-0.20544154942035675","-0.20544154942035675","-0.20544154942035675"
"805","-0.2236437052488327","-0.2236437052488327","-0.2236437052488327"
"811","-0.2965415418148041","-0.2965415418148041","-0.2965415418148041"
"813","-0.29731109738349915","-0.29731109738349915","-0.29731109738349915"
"817","-0.2603844702243805","-0.2603844702243805","-0.2603844702243805"
"821","-0.32956141233444214","-0.32956141233444214","-0.32956141233444214"
"829","-0.2668099105358124","-0.2668099105358124","-0.2668099105358124"
"839","-0.30835750699043274","-0.30835750699043274","-0.30835750699043274"
"841","-0.35459768772125244","-0.35459768772125244","-0.35459768772125244"
"845","-0.22515562176704407","-0.22515562176704407","-0.22515562176704407"
"847","-0.28339168429374695","-0.28339168429374695","-0.28339168429374695"
"853","-0.2686031758785248","-0.2686031758785248","-0.2686031758785248"
"855","-0.3289374113082886","-0.3289374113082886","-0.3289374113082886"
"859","-0.33577167987823486","-0.33577167987823486","-0.33577167987823486"
