"Step","resilient-blaze-9 - rewards/step","resilient-blaze-9 - rewards/step__MIN","resilient-blaze-9 - rewards/step__MAX"
"7680","-165.38096618652344","-165.38096618652344","-165.38096618652344"
"7999","-177.1273956298828","-177.1273956298828","-177.1273956298828"
"8003","-138.08523559570312","-138.08523559570312","-138.08523559570312"
"8319","-167.8600616455078","-167.8600616455078","-167.8600616455078"
"8323","-151.20384216308594","-151.20384216308594","-151.20384216308594"
"8590","-176.0237274169922","-176.0237274169922","-176.0237274169922"
"8594","-145.6649932861328","-145.6649932861328","-145.6649932861328"
"8647","-132.77369689941406","-132.77369689941406","-132.77369689941406"
"8962","-154.69036865234375","-154.69036865234375","-154.69036865234375"
"8966","-184.7713165283203","-184.7713165283203","-184.7713165283203"
"9250","-175.31564331054688","-175.31564331054688","-175.31564331054688"
"9254","-144.07489013671875","-144.07489013671875","-144.07489013671875"
"9284","-163.93321228027344","-163.93321228027344","-163.93321228027344"
"9600","-141.03802490234375","-141.03802490234375","-141.03802490234375"
"9604","-149.26515197753906","-149.26515197753906","-149.26515197753906"
"9910","-173.5516357421875","-173.5516357421875","-173.5516357421875"
"9914","-132.14654541015625","-132.14654541015625","-132.14654541015625"
"9925","-126.79331970214844","-126.79331970214844","-126.79331970214844"
"10245","-133.1880340576172","-133.1880340576172","-133.1880340576172"
"10249","-114.95443725585938","-114.95443725585938","-114.95443725585938"
"10564","-104.19329071044922","-104.19329071044922","-104.19329071044922"
"10568","-125.5785903930664","-125.5785903930664","-125.5785903930664"
"10837","-115.5347900390625","-115.5347900390625","-115.5347900390625"
"10841","-81.89087677001953","-81.89087677001953","-81.89087677001953"
"10891","-110.20269012451172","-110.20269012451172","-110.20269012451172"
"11204","-39.842308044433594","-39.842308044433594","-39.842308044433594"
"11208","-40.707252502441406","-40.707252502441406","-40.707252502441406"
"11499","-90.05337524414062","-90.05337524414062","-90.05337524414062"
"11503","-88.44232177734375","-88.44232177734375","-88.44232177734375"
"11530","-44.73755645751953","-44.73755645751953","-44.73755645751953"
"11846","-48.89449691772461","-48.89449691772461","-48.89449691772461"
"11850","-48.191444396972656","-48.191444396972656","-48.191444396972656"
"12158","-131.27500915527344","-131.27500915527344","-131.27500915527344"
"12162","-86.677490234375","-86.677490234375","-86.677490234375"
"12172","-40.18535614013672","-40.18535614013672","-40.18535614013672"
"12486","28.819915771484375","28.819915771484375","28.819915771484375"
"12491","32.41592788696289","32.41592788696289","32.41592788696289"
"12813","-1.753023624420166","-1.753023624420166","-1.753023624420166"
"12817","-6.760275840759277","-6.760275840759277","-6.760275840759277"
"13086","0.7962670922279358","0.7962670922279358","0.7962670922279358"
"13090","31.927249908447266","31.927249908447266","31.927249908447266"
"13143","-56.55180358886719","-56.55180358886719","-56.55180358886719"
"13458","-46.34906005859375","-46.34906005859375","-46.34906005859375"
"13462","16.88238525390625","16.88238525390625","16.88238525390625"
"13746","2.9368808269500732","2.9368808269500732","2.9368808269500732"
"13750","68.2738037109375","68.2738037109375","68.2738037109375"
"13788","2.9376673698425293","2.9376673698425293","2.9376673698425293"
