"Step","rare-brook-31 - Success Rate","rare-brook-31 - Success Rate__MIN","rare-brook-31 - Success Rate__MAX"
"552","0","0","0"
"1700","0","0","0"
"4050","0","0","0"
"6516","0.007320644333958626","0.007320644333958626","0.007320644333958626"
"8942","0.064453125","0.064453125","0.064453125"
"11358","0.13958027958869934","0.13958027958869934","0.13958027958869934"
"13670","0.24169921875","0.24169921875","0.24169921875"
"15876","0.3616398274898529","0.3616398274898529","0.3616398274898529"
"18034","0.43310546875","0.43310546875","0.43310546875"
"20066","0.6017569303512573","0.6017569303512573","0.6017569303512573"
"21882","0.76513671875","0.76513671875","0.76513671875"
"23598","0.8517073392868042","0.8517073392868042","0.8517073392868042"
"25186","0.8945827484130859","0.8945827484130859","0.8945827484130859"
"26690","0.9302439093589783","0.9302439093589783","0.9302439093589783"
"28140","0.93505859375","0.93505859375","0.93505859375"
"29552","0.9336261749267578","0.9336261749267578","0.9336261749267578"
"30960","0.9482926726341248","0.9482926726341248","0.9482926726341248"
"32306","0.9599804878234863","0.9599804878234863","0.9599804878234863"
"33632","0.95654296875","0.95654296875","0.95654296875"
"34930","0.96830815076828","0.96830815076828","0.96830815076828"
"36206","0.9638848304748535","0.9638848304748535","0.9638848304748535"
"37452","0.9619140625","0.9619140625","0.9619140625"
"38706","0.962890625","0.962890625","0.962890625"
"39956","0.9609565734863281","0.9609565734863281","0.9609565734863281"
"41194","0.9541015625","0.9541015625","0.9541015625"
"42426","0.9501953125","0.9501953125","0.9501953125"
"43668","0.9512194991111755","0.9512194991111755","0.9512194991111755"
"44896","0.9682926535606384","0.9682926535606384","0.9682926535606384"
"46114","0.9619511961936951","0.9619511961936951","0.9619511961936951"
"47328","0.9629268050193787","0.9629268050193787","0.9629268050193787"
"48532","0.9648951888084412","0.9648951888084412","0.9648951888084412"
"49742","0.9609946608543396","0.9609946608543396","0.9609946608543396"
"50932","0.9732360243797302","0.9732360243797302","0.9732360243797302"
"52112","0.9707602262496948","0.9707602262496948","0.9707602262496948"
"53290","0.970703125","0.970703125","0.970703125"
"54466","0.979522168636322","0.979522168636322","0.979522168636322"
"55634","0.9790244102478027","0.9790244102478027","0.9790244102478027"
"56792","0.9770731925964355","0.9770731925964355","0.9770731925964355"
"57962","0.97900390625","0.97900390625","0.97900390625"
"59134","0.9755859375","0.9755859375","0.9755859375"
"60304","0.9765739440917969","0.9765739440917969","0.9765739440917969"
"61468","0.980966329574585","0.980966329574585","0.980966329574585"
"62622","0.973183810710907","0.973183810710907","0.973183810710907"
"63784","0.9755978584289551","0.9755978584289551","0.9755978584289551"
"64952","0.9741337299346924","0.9741337299346924","0.9741337299346924"
"66114","0.9765739440917969","0.9765739440917969","0.9765739440917969"
