"Step","rare-brook-31 - CBF constraint(unfiltered)","rare-brook-31 - CBF constraint(unfiltered)__MIN","rare-brook-31 - CBF constraint(unfiltered)__MAX"
"425","-0.027213934808969498","-0.027213934808969498","-0.027213934808969498"
"427","-0.034118182957172394","-0.034118182957172394","-0.034118182957172394"
"429","-0.017735419794917107","-0.017735419794917107","-0.017735419794917107"
"443","-0.031113795936107635","-0.031113795936107635","-0.031113795936107635"
"459","-0.02661588415503502","-0.02661588415503502","-0.02661588415503502"
"477","-0.02470545843243599","-0.02470545843243599","-0.02470545843243599"
"497","-0.01800539903342724","-0.01800539903342724","-0.01800539903342724"
"499","-0.025947483256459236","-0.025947483256459236","-0.025947483256459236"
"509","-0.02388947829604149","-0.02388947829604149","-0.02388947829604149"
"513","-0.024818744510412216","-0.024818744510412216","-0.024818744510412216"
"519","-0.0360950343310833","-0.0360950343310833","-0.0360950343310833"
"523","-0.02322915941476822","-0.02322915941476822","-0.02322915941476822"
"535","-0.021453578025102615","-0.021453578025102615","-0.021453578025102615"
"539","-0.031014233827590942","-0.031014233827590942","-0.031014233827590942"
"555","-0.016673248261213303","-0.016673248261213303","-0.016673248261213303"
"557","-0.021236073225736618","-0.021236073225736618","-0.021236073225736618"
"563","-0.0376683846116066","-0.0376683846116066","-0.0376683846116066"
"573","-0.02251439541578293","-0.02251439541578293","-0.02251439541578293"
"575","-0.0293792262673378","-0.0293792262673378","-0.0293792262673378"
"581","-0.018061600625514984","-0.018061600625514984","-0.018061600625514984"
"589","-0.017760196700692177","-0.017760196700692177","-0.017760196700692177"
"591","-0.024118004366755486","-0.024118004366755486","-0.024118004366755486"
"595","-0.01931317150592804","-0.01931317150592804","-0.01931317150592804"
"601","-0.018058855086565018","-0.018058855086565018","-0.018058855086565018"
"629","-0.03266964852809906","-0.03266964852809906","-0.03266964852809906"
"637","-0.03795939311385155","-0.03795939311385155","-0.03795939311385155"
"641","-0.02264866791665554","-0.02264866791665554","-0.02264866791665554"
"649","-0.02942882478237152","-0.02942882478237152","-0.02942882478237152"
"651","-0.01816432550549507","-0.01816432550549507","-0.01816432550549507"
"679","-0.026979949325323105","-0.026979949325323105","-0.026979949325323105"
"681","-0.02567119523882866","-0.02567119523882866","-0.02567119523882866"
"683","-0.029275398701429367","-0.029275398701429367","-0.029275398701429367"
"685","-0.018139950931072235","-0.018139950931072235","-0.018139950931072235"
"693","-0.014585851691663265","-0.014585851691663265","-0.014585851691663265"
"707","-0.024914244189858437","-0.024914244189858437","-0.024914244189858437"
"717","-0.01677566021680832","-0.01677566021680832","-0.01677566021680832"
"719","-0.010295658372342587","-0.010295658372342587","-0.010295658372342587"
"727","-0.02116280421614647","-0.02116280421614647","-0.02116280421614647"
"729","-0.026726091280579567","-0.026726091280579567","-0.026726091280579567"
"741","-0.008993295952677727","-0.008993295952677727","-0.008993295952677727"
"747","-0.014252069406211376","-0.014252069406211376","-0.014252069406211376"
"753","-0.011014415882527828","-0.011014415882527828","-0.011014415882527828"
"763","-0.01442080270498991","-0.01442080270498991","-0.01442080270498991"
"767","-0.016925830394029617","-0.016925830394029617","-0.016925830394029617"
"769","-0.012876396998763084","-0.012876396998763084","-0.012876396998763084"
"777","-0.018386486917734146","-0.018386486917734146","-0.018386486917734146"
"793","-0.010353658348321915","-0.010353658348321915","-0.010353658348321915"
"795","-0.016388578340411186","-0.016388578340411186","-0.016388578340411186"
"799","-0.013972334563732147","-0.013972334563732147","-0.013972334563732147"
"807","-0.011235032230615616","-0.011235032230615616","-0.011235032230615616"
"825","-0.020013388246297836","-0.020013388246297836","-0.020013388246297836"
"835","-0.010245285928249359","-0.010245285928249359","-0.010245285928249359"
"839","-0.02516324259340763","-0.02516324259340763","-0.02516324259340763"
"859","-0.014331859536468983","-0.014331859536468983","-0.014331859536468983"
"861","-0.02564120665192604","-0.02564120665192604","-0.02564120665192604"
"871","-0.014806607738137245","-0.014806607738137245","-0.014806607738137245"
"877","-0.0349641814827919","-0.0349641814827919","-0.0349641814827919"
"881","-0.012835261411964893","-0.012835261411964893","-0.012835261411964893"
"889","-0.012641273438930511","-0.012641273438930511","-0.012641273438930511"
"893","-0.021553747355937958","-0.021553747355937958","-0.021553747355937958"
"901","-0.013028551824390888","-0.013028551824390888","-0.013028551824390888"
"903","-0.016044137999415398","-0.016044137999415398","-0.016044137999415398"
"907","-0.016100922599434853","-0.016100922599434853","-0.016100922599434853"
"911","-0.021065853536128998","-0.021065853536128998","-0.021065853536128998"
"913","-0.018000876531004906","-0.018000876531004906","-0.018000876531004906"
"927","-0.022361110895872116","-0.022361110895872116","-0.022361110895872116"
"939","-0.01930779591202736","-0.01930779591202736","-0.01930779591202736"
"941","-0.01794404536485672","-0.01794404536485672","-0.01794404536485672"
"943","-0.01078541949391365","-0.01078541949391365","-0.01078541949391365"
"949","-0.01762162335216999","-0.01762162335216999","-0.01762162335216999"
"965","-0.008671699091792107","-0.008671699091792107","-0.008671699091792107"
"975","-0.014056445099413395","-0.014056445099413395","-0.014056445099413395"
"977","-0.011347537860274315","-0.011347537860274315","-0.011347537860274315"
"981","-0.014144385233521461","-0.014144385233521461","-0.014144385233521461"
"983","-0.020513197407126427","-0.020513197407126427","-0.020513197407126427"
"987","-0.015977146103978157","-0.015977146103978157","-0.015977146103978157"
"991","-0.016410870477557182","-0.016410870477557182","-0.016410870477557182"
"1009","-0.022306904196739197","-0.022306904196739197","-0.022306904196739197"
"1011","-0.010548368096351624","-0.010548368096351624","-0.010548368096351624"
"1021","-0.014967910945415497","-0.014967910945415497","-0.014967910945415497"
"1023","-0.012001884169876575","-0.012001884169876575","-0.012001884169876575"
"1025","-0.011329874396324158","-0.011329874396324158","-0.011329874396324158"
"1031","-0.00906665250658989","-0.00906665250658989","-0.00906665250658989"
"1033","-0.0231481920927763","-0.0231481920927763","-0.0231481920927763"
"1047","-0.01225267630070448","-0.01225267630070448","-0.01225267630070448"
"1051","-0.016507603228092194","-0.016507603228092194","-0.016507603228092194"
"1055","-0.015003024600446224","-0.015003024600446224","-0.015003024600446224"
"1057","-0.013425110839307308","-0.013425110839307308","-0.013425110839307308"
"1063","-0.01039095502346754","-0.01039095502346754","-0.01039095502346754"
"1069","-0.009647252038121223","-0.009647252038121223","-0.009647252038121223"
"1071","-0.02382667362689972","-0.02382667362689972","-0.02382667362689972"
"1075","-0.012945778667926788","-0.012945778667926788","-0.012945778667926788"
"1083","-0.015155661851167679","-0.015155661851167679","-0.015155661851167679"
"1099","-0.01003357395529747","-0.01003357395529747","-0.01003357395529747"
"1107","-0.011366033926606178","-0.011366033926606178","-0.011366033926606178"
"1119","-0.010287401266396046","-0.010287401266396046","-0.010287401266396046"
"1123","-0.014649692922830582","-0.014649692922830582","-0.014649692922830582"
"1137","-0.018456704914569855","-0.018456704914569855","-0.018456704914569855"
"1139","-0.03212016820907593","-0.03212016820907593","-0.03212016820907593"
"1143","-0.010379813611507416","-0.010379813611507416","-0.010379813611507416"
"1149","-0.013997816480696201","-0.013997816480696201","-0.013997816480696201"
"1153","-0.008283737115561962","-0.008283737115561962","-0.008283737115561962"
"1155","-0.008483294397592545","-0.008483294397592545","-0.008483294397592545"
"1169","-0.019938571378588676","-0.019938571378588676","-0.019938571378588676"
"1171","-0.012712979689240456","-0.012712979689240456","-0.012712979689240456"
"1183","-0.004961904603987932","-0.004961904603987932","-0.004961904603987932"
"1195","-0.007954535074532032","-0.007954535074532032","-0.007954535074532032"
"1197","-0.013644982129335403","-0.013644982129335403","-0.013644982129335403"
"1225","-0.0072735948488116264","-0.0072735948488116264","-0.0072735948488116264"
"1227","-0.011795824393630028","-0.011795824393630028","-0.011795824393630028"
"1229","-0.011803214438259602","-0.011803214438259602","-0.011803214438259602"
"1245","-0.01143653318285942","-0.01143653318285942","-0.01143653318285942"
"1247","-0.011684074997901917","-0.011684074997901917","-0.011684074997901917"
"1249","-0.0064722690731287","-0.0064722690731287","-0.0064722690731287"
"1251","-0.008370526134967804","-0.008370526134967804","-0.008370526134967804"
"1253","-0.012111196294426918","-0.012111196294426918","-0.012111196294426918"
"1267","-0.007563121151179075","-0.007563121151179075","-0.007563121151179075"
"1287","-0.0077228844165802","-0.0077228844165802","-0.0077228844165802"
"1291","-0.015349416993558407","-0.015349416993558407","-0.015349416993558407"
"1299","-0.012128610163927078","-0.012128610163927078","-0.012128610163927078"
"1301","-0.021397486329078674","-0.021397486329078674","-0.021397486329078674"
"1315","-0.0181629229336977","-0.0181629229336977","-0.0181629229336977"
"1325","-0.005657711997628212","-0.005657711997628212","-0.005657711997628212"
"1333","-0.01338379830121994","-0.01338379830121994","-0.01338379830121994"
"1335","-0.01710648275911808","-0.01710648275911808","-0.01710648275911808"
"1337","-0.008810898289084435","-0.008810898289084435","-0.008810898289084435"
"1345","-0.013198073022067547","-0.013198073022067547","-0.013198073022067547"
"1349","-0.004805511329323053","-0.004805511329323053","-0.004805511329323053"
"1369","-0.007200447376817465","-0.007200447376817465","-0.007200447376817465"
"1375","-0.012356222607195377","-0.012356222607195377","-0.012356222607195377"
"1381","-0.009691717103123665","-0.009691717103123665","-0.009691717103123665"
"1389","-0.006191462744027376","-0.006191462744027376","-0.006191462744027376"
"1391","-0.008314176462590694","-0.008314176462590694","-0.008314176462590694"
"1401","-0.006633428856730461","-0.006633428856730461","-0.006633428856730461"
"1403","-0.008509079925715923","-0.008509079925715923","-0.008509079925715923"
"1421","-0.015456657856702805","-0.015456657856702805","-0.015456657856702805"
"1423","-0.010934988968074322","-0.010934988968074322","-0.010934988968074322"
"1435","-0.010834298096597195","-0.010834298096597195","-0.010834298096597195"
"1437","-0.00614086352288723","-0.00614086352288723","-0.00614086352288723"
"1439","-0.010387725196778774","-0.010387725196778774","-0.010387725196778774"
"1441","-0.006082760635763407","-0.006082760635763407","-0.006082760635763407"
"1443","-0.015622085891664028","-0.015622085891664028","-0.015622085891664028"
"1447","-0.0081494664773345","-0.0081494664773345","-0.0081494664773345"
"1449","-0.011199679225683212","-0.011199679225683212","-0.011199679225683212"
"1459","-0.008588745258748531","-0.008588745258748531","-0.008588745258748531"
"1467","-0.010346912778913975","-0.010346912778913975","-0.010346912778913975"
"1469","-0.011105548590421677","-0.011105548590421677","-0.011105548590421677"
"1471","-0.010259959846735","-0.010259959846735","-0.010259959846735"
"1479","-0.01571391150355339","-0.01571391150355339","-0.01571391150355339"
"1481","-0.0038193922955542803","-0.0038193922955542803","-0.0038193922955542803"
"1489","-0.007927228696644306","-0.007927228696644306","-0.007927228696644306"
"1491","-0.009742692112922668","-0.009742692112922668","-0.009742692112922668"
"1493","-0.007668114732950926","-0.007668114732950926","-0.007668114732950926"
"1499","-0.013566797599196434","-0.013566797599196434","-0.013566797599196434"
"1501","-0.023465748876333237","-0.023465748876333237","-0.023465748876333237"
"1503","-0.007244070991873741","-0.007244070991873741","-0.007244070991873741"
"1505","-0.007928907871246338","-0.007928907871246338","-0.007928907871246338"
"1507","-0.016227565705776215","-0.016227565705776215","-0.016227565705776215"
"1521","-0.004444622900336981","-0.004444622900336981","-0.004444622900336981"
"1525","-0.009143849834799767","-0.009143849834799767","-0.009143849834799767"
"1527","-0.008041178807616234","-0.008041178807616234","-0.008041178807616234"
"1529","-0.0065949782729148865","-0.0065949782729148865","-0.0065949782729148865"
"1531","-0.015579035505652428","-0.015579035505652428","-0.015579035505652428"
"1533","-0.0026582905557006598","-0.0026582905557006598","-0.0026582905557006598"
"1539","-0.0049711852334439754","-0.0049711852334439754","-0.0049711852334439754"
"1547","-0.008075583726167679","-0.008075583726167679","-0.008075583726167679"
"1549","-0.002022199332714081","-0.002022199332714081","-0.002022199332714081"
"1557","-0.012965020723640919","-0.012965020723640919","-0.012965020723640919"
"1559","-0.014575416222214699","-0.014575416222214699","-0.014575416222214699"
