"Step","rare-brook-31 - rewards/iter","rare-brook-31 - rewards/iter__MIN","rare-brook-31 - rewards/iter__MAX"
"62734","822.1588134765625","822.1588134765625","822.1588134765625"
"62738","841.099609375","841.099609375","841.099609375"
"63054","865.4739379882812","865.4739379882812","865.4739379882812"
"63058","808.408447265625","808.408447265625","808.408447265625"
"63372","824.6033935546875","824.6033935546875","824.6033935546875"
"63376","829.250244140625","829.250244140625","829.250244140625"
"63654","866.22802734375","866.22802734375","866.22802734375"
"63658","825.880126953125","825.880126953125","825.880126953125"
"63696","813.1312255859375","813.1312255859375","813.1312255859375"
"64012","810.152099609375","810.152099609375","810.152099609375"
"64016","859.423583984375","859.423583984375","859.423583984375"
"64318","833.2822265625","833.2822265625","833.2822265625"
"64322","853.2980346679688","853.2980346679688","853.2980346679688"
"64334","861.9822387695312","861.9822387695312","861.9822387695312"
"64648","799.75146484375","799.75146484375","799.75146484375"
"64652","804.7938842773438","804.7938842773438","804.7938842773438"
"64966","778.968505859375","778.968505859375","778.968505859375"
"64970","856.5455322265625","856.5455322265625","856.5455322265625"
"65244","832.842041015625","832.842041015625","832.842041015625"
"65248","831.9356079101562","831.9356079101562","831.9356079101562"
"65292","797.3549194335938","797.3549194335938","797.3549194335938"
"65604","832.0316162109375","832.0316162109375","832.0316162109375"
"65608","862.1705932617188","862.1705932617188","862.1705932617188"
"65908","847.7310791015625","847.7310791015625","847.7310791015625"
"65912","858.9664916992188","858.9664916992188","858.9664916992188"
"65930","829.9803466796875","829.9803466796875","829.9803466796875"
