"Step","rare-brook-31 - rewards/iter","rare-brook-31 - rewards/iter__MIN","rare-brook-31 - rewards/iter__MAX"
"16708","111.05072784423828","111.05072784423828","111.05072784423828"
"17024","190.1858673095703","190.1858673095703","190.1858673095703"
"17028","200.6461639404297","200.6461639404297","200.6461639404297"
"17314","206.28517150878906","206.28517150878906","206.28517150878906"
"17318","186.47886657714844","186.47886657714844","186.47886657714844"
"17348","164.28976440429688","164.28976440429688","164.28976440429688"
"17664","211.57485961914062","211.57485961914062","211.57485961914062"
"17668","217.39697265625","217.39697265625","217.39697265625"
"17976","241.4764404296875","241.4764404296875","241.4764404296875"
"17980","245.68621826171875","245.68621826171875","245.68621826171875"
"17990","199.5074005126953","199.5074005126953","199.5074005126953"
"18312","276.9349670410156","276.9349670410156","276.9349670410156"
"18316","291.9114074707031","291.9114074707031","291.9114074707031"
"18628","266.57733154296875","266.57733154296875","266.57733154296875"
"18632","288.2732238769531","288.2732238769531","288.2732238769531"
"18902","295.14898681640625","295.14898681640625","295.14898681640625"
"18906","302.3717041015625","302.3717041015625","302.3717041015625"
"18954","353.7744445800781","353.7744445800781","353.7744445800781"
"19272","403.8273620605469","403.8273620605469","403.8273620605469"
"19276","409.2418212890625","409.2418212890625","409.2418212890625"
"19562","408.4613342285156","408.4613342285156","408.4613342285156"
"19566","274.2367248535156","274.2367248535156","274.2367248535156"
"19598","320.9079284667969","320.9079284667969","320.9079284667969"
"19914","355.5303955078125","355.5303955078125","355.5303955078125"
"19918","416.82904052734375","416.82904052734375","416.82904052734375"
"20224","425.7019348144531","425.7019348144531","425.7019348144531"
"20228","437.263427734375","437.263427734375","437.263427734375"
"20246","414.1600341796875","414.1600341796875","414.1600341796875"
"20562","468.0088806152344","468.0088806152344","468.0088806152344"
"20566","427.2190856933594","427.2190856933594","427.2190856933594"
"20882","514.953125","514.953125","514.953125"
"20886","536.2958374023438","536.2958374023438","536.2958374023438"
"21150","550.1987915039062","550.1987915039062","550.1987915039062"
"21154","541.9508666992188","541.9508666992188","541.9508666992188"
"21208","552.3807373046875","552.3807373046875","552.3807373046875"
"21526","552.0023193359375","552.0023193359375","552.0023193359375"
"21530","534.9387817382812","534.9387817382812","534.9387817382812"
"21810","505.64697265625","505.64697265625","505.64697265625"
"21814","537.9009399414062","537.9009399414062","537.9009399414062"
"21854","605.899658203125","605.899658203125","605.899658203125"
"22174","613.2662353515625","613.2662353515625","613.2662353515625"
"22178","579.5916137695312","579.5916137695312","579.5916137695312"
"22474","581.7318115234375","581.7318115234375","581.7318115234375"
"22478","579.328125","579.328125","579.328125"
"22500","617.4072875976562","617.4072875976562","617.4072875976562"
"22816","608.42626953125","608.42626953125","608.42626953125"
"22820","628.056884765625","628.056884765625","628.056884765625"
"23134","657.5243530273438","657.5243530273438","657.5243530273438"
"23138","646.9197387695312","646.9197387695312","646.9197387695312"
"23144","654.1602783203125","654.1602783203125","654.1602783203125"
"23456","692.4002685546875","692.4002685546875","692.4002685546875"
"23460","651.7293701171875","651.7293701171875","651.7293701171875"
"23780","680.8685302734375","680.8685302734375","680.8685302734375"
"23784","648.192138671875","648.192138671875","648.192138671875"
"24062","616.489501953125","616.489501953125","616.489501953125"
"24066","711.1616821289062","711.1616821289062","711.1616821289062"
"24106","653.8230590820312","653.8230590820312","653.8230590820312"
"24420","661.657958984375","661.657958984375","661.657958984375"
"24424","670.594970703125","670.594970703125","670.594970703125"
"24722","683.3161010742188","683.3161010742188","683.3161010742188"
"24726","670.6637573242188","670.6637573242188","670.6637573242188"
"24748","673.1929321289062","673.1929321289062","673.1929321289062"
"25064","658.0271606445312","658.0271606445312","658.0271606445312"
"25068","679.0651245117188","679.0651245117188","679.0651245117188"
"25386","770.7615356445312","770.7615356445312","770.7615356445312"
"25390","721.6983642578125","721.6983642578125","721.6983642578125"
"25396","721.18310546875","721.18310546875","721.18310546875"
"25710","705.3536376953125","705.3536376953125","705.3536376953125"
"25714","751.1612548828125","751.1612548828125","751.1612548828125"
"26030","749.8906860351562","749.8906860351562","749.8906860351562"
"26034","629.2716674804688","629.2716674804688","629.2716674804688"
"26310","719.123046875","719.123046875","719.123046875"
"26314","767.4888305664062","767.4888305664062","767.4888305664062"
"26358","740.2077026367188","740.2077026367188","740.2077026367188"
"26674","692.505615234375","692.505615234375","692.505615234375"
"26678","767.7240600585938","767.7240600585938","767.7240600585938"
"26974","796.491455078125","796.491455078125","796.491455078125"
"26978","743.475830078125","743.475830078125","743.475830078125"
"27008","679.4888305664062","679.4888305664062","679.4888305664062"
"27324","751.6495971679688","751.6495971679688","751.6495971679688"
"27328","731.4070434570312","731.4070434570312","731.4070434570312"
"27634","756.9285888671875","756.9285888671875","756.9285888671875"
"27638","750.2302856445312","750.2302856445312","750.2302856445312"
"27652","726.8787841796875","726.8787841796875","726.8787841796875"
"27966","728.2244873046875","728.2244873046875","728.2244873046875"
"27970","731.2276611328125","731.2276611328125","731.2276611328125"
"28292","744.3983154296875","744.3983154296875","744.3983154296875"
"28296","753.2919921875","753.2919921875","753.2919921875"
"28562","722.1749267578125","722.1749267578125","722.1749267578125"
"28566","771.3561401367188","771.3561401367188","771.3561401367188"
"28620","745.1875","745.1875","745.1875"
"28936","770.0009155273438","770.0009155273438","770.0009155273438"
"28940","750.99951171875","750.99951171875","750.99951171875"
"29222","745.665283203125","745.665283203125","745.665283203125"
"29226","774.8809204101562","774.8809204101562","774.8809204101562"
"29264","724.6619262695312","724.6619262695312","724.6619262695312"
"29584","783.216064453125","783.216064453125","783.216064453125"
"29588","704.6722412109375","704.6722412109375","704.6722412109375"
"29886","781.8850708007812","781.8850708007812","781.8850708007812"
"29890","822.047119140625","822.047119140625","822.047119140625"
"29912","759.3572387695312","759.3572387695312","759.3572387695312"
"30226","788.0980224609375","788.0980224609375","788.0980224609375"
"30230","778.2889404296875","778.2889404296875","778.2889404296875"
"30546","733.4822387695312","733.4822387695312","733.4822387695312"
"30550","824.037109375","824.037109375","824.037109375"
"30554","770.5764770507812","770.5764770507812","770.5764770507812"
"30870","801.6452026367188","801.6452026367188","801.6452026367188"
"30874","796.562744140625","796.562744140625","796.562744140625"
"31196","747.6351928710938","747.6351928710938","747.6351928710938"
"31200","741.9933471679688","741.9933471679688","741.9933471679688"
"31472","817.0709228515625","817.0709228515625","817.0709228515625"
"31476","791.0868530273438","791.0868530273438","791.0868530273438"
"31522","782.7077026367188","782.7077026367188","782.7077026367188"
"31830","796.639892578125","796.639892578125","796.639892578125"
"31834","826.906982421875","826.906982421875","826.906982421875"
"32134","761.6759033203125","761.6759033203125","761.6759033203125"
"32138","822.4874267578125","822.4874267578125","822.4874267578125"
"32156","825.410888671875","825.410888671875","825.410888671875"
"32472","768.5969848632812","768.5969848632812","768.5969848632812"
"32476","800.714599609375","800.714599609375","800.714599609375"
"32790","819.461181640625","819.461181640625","819.461181640625"
"32794","797.58349609375","797.58349609375","797.58349609375"
"33060","785.3883666992188","785.3883666992188","785.3883666992188"
"33064","761.4342041015625","761.4342041015625","761.4342041015625"
"33118","756.696533203125","756.696533203125","756.696533203125"
"33434","783.0846557617188","783.0846557617188","783.0846557617188"
"33438","820.23828125","820.23828125","820.23828125"
"33724","801.1287841796875","801.1287841796875","801.1287841796875"
"33728","837.8429565429688","837.8429565429688","837.8429565429688"
"33766","793.4561767578125","793.4561767578125","793.4561767578125"
"34084","816.5613403320312","816.5613403320312","816.5613403320312"
"34088","818.1728515625","818.1728515625","818.1728515625"
"34386","820.2869262695312","820.2869262695312","820.2869262695312"
"34390","816.9373779296875","816.9373779296875","816.9373779296875"
"34412","848.053955078125","848.053955078125","848.053955078125"
"34726","850.9169921875","850.9169921875","850.9169921875"
"34730","817.4531860351562","817.4531860351562","817.4531860351562"
"35048","729.3524780273438","729.3524780273438","729.3524780273438"
"35052","795.1085815429688","795.1085815429688","795.1085815429688"
"35314","760.30615234375","760.30615234375","760.30615234375"
"35318","841.7665405273438","841.7665405273438","841.7665405273438"
"35376","758.650634765625","758.650634765625","758.650634765625"
"35694","772.0263671875","772.0263671875","772.0263671875"
"35698","807.4085693359375","807.4085693359375","807.4085693359375"
