"Step","restful-aardvark-1 - Smallest CBF value","restful-aardvark-1 - Smallest CBF value__MIN","restful-aardvark-1 - Smallest CBF value__MAX"
"76","-0.2827763557434082","-0.2827763557434082","-0.2827763557434082"
"78","-0.3312291204929352","-0.3312291204929352","-0.3312291204929352"
"80","-0.28061872720718384","-0.28061872720718384","-0.28061872720718384"
"82","-0.25789082050323486","-0.25789082050323486","-0.25789082050323486"
"84","-0.30621498823165894","-0.30621498823165894","-0.30621498823165894"
"86","-0.3180992305278778","-0.3180992305278778","-0.3180992305278778"
"88","-0.2883891761302948","-0.2883891761302948","-0.2883891761302948"
"90","-0.26365503668785095","-0.26365503668785095","-0.26365503668785095"
"92","-0.26882171630859375","-0.26882171630859375","-0.26882171630859375"
"94","-0.2774440050125122","-0.2774440050125122","-0.2774440050125122"
"96","-0.3333709239959717","-0.3333709239959717","-0.3333709239959717"
"98","-0.2581009268760681","-0.2581009268760681","-0.2581009268760681"
"100","-0.26824378967285156","-0.26824378967285156","-0.26824378967285156"
"102","-0.28223085403442383","-0.28223085403442383","-0.28223085403442383"
"104","-0.3405669331550598","-0.3405669331550598","-0.3405669331550598"
"106","-0.3073427081108093","-0.3073427081108093","-0.3073427081108093"
"108","-0.31678587198257446","-0.31678587198257446","-0.31678587198257446"
"110","-0.32919013500213623","-0.32919013500213623","-0.32919013500213623"
"112","-0.34272876381874084","-0.34272876381874084","-0.34272876381874084"
"114","-0.32428181171417236","-0.32428181171417236","-0.32428181171417236"
"116","-0.3135260045528412","-0.3135260045528412","-0.3135260045528412"
"118","-0.31349918246269226","-0.31349918246269226","-0.31349918246269226"
"120","-0.31653451919555664","-0.31653451919555664","-0.31653451919555664"
"122","-0.34715232253074646","-0.34715232253074646","-0.34715232253074646"
"124","-0.2800966203212738","-0.2800966203212738","-0.2800966203212738"
"126","-0.21736563742160797","-0.21736563742160797","-0.21736563742160797"
"128","-0.2204323709011078","-0.2204323709011078","-0.2204323709011078"
"130","-0.274710088968277","-0.274710088968277","-0.274710088968277"
"132","-0.2594953179359436","-0.2594953179359436","-0.2594953179359436"
"134","-0.31108972430229187","-0.31108972430229187","-0.31108972430229187"
"136","-0.27627161145210266","-0.27627161145210266","-0.27627161145210266"
"138","-0.3005076050758362","-0.3005076050758362","-0.3005076050758362"
"140","-0.34510529041290283","-0.34510529041290283","-0.34510529041290283"
"142","-0.2753729522228241","-0.2753729522228241","-0.2753729522228241"
"144","-0.2800908386707306","-0.2800908386707306","-0.2800908386707306"
"146","-0.2446984201669693","-0.2446984201669693","-0.2446984201669693"
"148","-0.31188052892684937","-0.31188052892684937","-0.31188052892684937"
"150","-0.28751203417778015","-0.28751203417778015","-0.28751203417778015"
"152","-0.3249308466911316","-0.3249308466911316","-0.3249308466911316"
"154","-0.2457161694765091","-0.2457161694765091","-0.2457161694765091"
"156","-0.29503700137138367","-0.29503700137138367","-0.29503700137138367"
"158","-0.254753440618515","-0.254753440618515","-0.254753440618515"
