"Step","restful-aardvark-1 - Crash Rate","restful-aardvark-1 - Crash Rate__MIN","restful-aardvark-1 - Crash Rate__MAX"
"409","1","1","1"
"1488","0.8274012804031372","0.8274012804031372","0.8274012804031372"
"3937","0.040507566183805466","0.040507566183805466","0.040507566183805466"
"6400","0.025853658095002174","0.025853658095002174","0.025853658095002174"
"8867","0.022449975833296776","0.022449975833296776","0.022449975833296776"
"11340","0.013177159242331982","0.013177159242331982","0.013177159242331982"
"13809","0.01170731708407402","0.01170731708407402","0.01170731708407402"
"16260","0.02194051630795002","0.02194051630795002","0.02194051630795002"
"18699","0.027317073196172714","0.027317073196172714","0.027317073196172714"
"21092","0.021484375","0.021484375","0.021484375"
"23425","0.01756097562611103","0.01756097562611103","0.01756097562611103"
"25682","0.03076171875","0.03076171875","0.03076171875"
"27839","0.04146341606974602","0.04146341606974602","0.04146341606974602"
"29870","0.04001952335238457","0.04001952335238457","0.04001952335238457"
"31813","0.0234375","0.0234375","0.0234375"
