"Step","restful-aardvark-1 - global_step","restful-aardvark-1 - global_step__MIN","restful-aardvark-1 - global_step__MAX"
"7680","917504","917504","917504"
"7681","933888","933888","933888"
"7682","933888","933888","933888"
"7683","933888","933888","933888"
"7993","933888","933888","933888"
"7994","950272","950272","950272"
"7995","950272","950272","950272"
"7996","950272","950272","950272"
"7997","950272","950272","950272"
"7998","966656","966656","966656"
"7999","966656","966656","966656"
"8000","966656","966656","966656"
"8308","966656","966656","966656"
"8309","983040","983040","983040"
"8310","983040","983040","983040"
"8311","983040","983040","983040"
"8312","983040","983040","983040"
"8313","999424","999424","999424"
"8314","999424","999424","999424"
"8315","999424","999424","999424"
"8571","999424","999424","999424"
"8572","1015808","1015808","1015808"
"8573","1015808","1015808","1015808"
"8574","1015808","1015808","1015808"
"8575","1015808","1015808","1015808"
"8576","1032192","1032192","1032192"
"8577","1032192","1032192","1032192"
"8578","1032192","1032192","1032192"
"8579","1032192","1032192","1032192"
"8635","1048576","1048576","1048576"
"8636","1048576","1048576","1048576"
"8637","1048576","1048576","1048576"
"8948","1048576","1048576","1048576"
"8949","1064960","1064960","1064960"
"8950","1064960","1064960","1064960"
"8951","1064960","1064960","1064960"
"8952","1064960","1064960","1064960"
"8953","1081344","1081344","1081344"
"8954","1081344","1081344","1081344"
"8955","1081344","1081344","1081344"
"9234","1081344","1081344","1081344"
"9235","1097728","1097728","1097728"
"9236","1097728","1097728","1097728"
"9237","1097728","1097728","1097728"
"9238","1097728","1097728","1097728"
"9239","1114112","1114112","1114112"
"9240","1114112","1114112","1114112"
"9241","1114112","1114112","1114112"
"9271","1114112","1114112","1114112"
"9272","1130496","1130496","1130496"
"9273","1130496","1130496","1130496"
"9274","1130496","1130496","1130496"
"9583","1130496","1130496","1130496"
"9584","1146880","1146880","1146880"
"9585","1146880","1146880","1146880"
"9586","1146880","1146880","1146880"
"9587","1146880","1146880","1146880"
"9588","1163264","1163264","1163264"
"9589","1163264","1163264","1163264"
"9590","1163264","1163264","1163264"
"9895","1163264","1163264","1163264"
"9896","1179648","1179648","1179648"
"9897","1179648","1179648","1179648"
"9898","1179648","1179648","1179648"
"9899","1179648","1179648","1179648"
"9900","1196032","1196032","1196032"
"9901","1196032","1196032","1196032"
"9902","1196032","1196032","1196032"
"9908","1196032","1196032","1196032"
"9909","1212416","1212416","1212416"
"9910","1212416","1212416","1212416"
"9911","1212416","1212416","1212416"
"10220","1212416","1212416","1212416"
"10221","1228800","1228800","1228800"
"10222","1228800","1228800","1228800"
"10223","1228800","1228800","1228800"
"10224","1228800","1228800","1228800"
"10225","1245184","1245184","1245184"
"10226","1245184","1245184","1245184"
"10227","1245184","1245184","1245184"
"10537","1245184","1245184","1245184"
"10538","1261568","1261568","1261568"
"10539","1261568","1261568","1261568"
"10540","1261568","1261568","1261568"
"10541","1261568","1261568","1261568"
"10542","1277952","1277952","1277952"
"10543","1277952","1277952","1277952"
"10544","1277952","1277952","1277952"
"10817","1277952","1277952","1277952"
"10818","1294336","1294336","1294336"
"10819","1294336","1294336","1294336"
"10820","1294336","1294336","1294336"
"10821","1294336","1294336","1294336"
"10822","1310720","1310720","1310720"
"10823","1310720","1310720","1310720"
"10824","1310720","1310720","1310720"
"10861","1310720","1310720","1310720"
"10862","1327104","1327104","1327104"
"10863","1327104","1327104","1327104"
"10864","1327104","1327104","1327104"
"11174","1327104","1327104","1327104"
"11175","1343488","1343488","1343488"
"11176","1343488","1343488","1343488"
"11177","1343488","1343488","1343488"
"11178","1343488","1343488","1343488"
"11179","1359872","1359872","1359872"
"11180","1359872","1359872","1359872"
"11181","1359872","1359872","1359872"
"11478","1359872","1359872","1359872"
"11479","1376256","1376256","1376256"
"11480","1376256","1376256","1376256"
"11481","1376256","1376256","1376256"
"11482","1376256","1376256","1376256"
"11483","1392640","1392640","1392640"
"11484","1392640","1392640","1392640"
"11485","1392640","1392640","1392640"
"11499","1392640","1392640","1392640"
"11500","1409024","1409024","1409024"
"11501","1409024","1409024","1409024"
"11502","1409024","1409024","1409024"
"11812","1409024","1409024","1409024"
"11813","1425408","1425408","1425408"
"11814","1425408","1425408","1425408"
"11815","1425408","1425408","1425408"
"11816","1425408","1425408","1425408"
"11817","1441792","1441792","1441792"
"11818","1441792","1441792","1441792"
"11819","1441792","1441792","1441792"
"12131","1441792","1441792","1441792"
"12132","1458176","1458176","1458176"
"12133","1458176","1458176","1458176"
"12134","1458176","1458176","1458176"
"12135","1458176","1458176","1458176"
"12136","1474560","1474560","1474560"
"12137","1474560","1474560","1474560"
"12138","1474560","1474560","1474560"
"12402","1474560","1474560","1474560"
"12403","1490944","1490944","1490944"
"12404","1490944","1490944","1490944"
"12405","1490944","1490944","1490944"
"12406","1490944","1490944","1490944"
"12407","1507328","1507328","1507328"
"12408","1507328","1507328","1507328"
"12409","1507328","1507328","1507328"
"12459","1507328","1507328","1507328"
"12460","1523712","1523712","1523712"
"12461","1523712","1523712","1523712"
"12462","1523712","1523712","1523712"
"12775","1523712","1523712","1523712"
"12776","1540096","1540096","1540096"
"12777","1540096","1540096","1540096"
"12778","1540096","1540096","1540096"
"12779","1540096","1540096","1540096"
"12780","1556480","1556480","1556480"
"12781","1556480","1556480","1556480"
"12782","1556480","1556480","1556480"
"13064","1556480","1556480","1556480"
"13065","1572864","1572864","1572864"
"13066","1572864","1572864","1572864"
"13067","1572864","1572864","1572864"
"13068","1572864","1572864","1572864"
"13069","1589248","1589248","1589248"
"13070","1589248","1589248","1589248"
"13071","1589248","1589248","1589248"
"13103","1589248","1589248","1589248"
"13104","1605632","1605632","1605632"
"13105","1605632","1605632","1605632"
"13106","1605632","1605632","1605632"
"13420","1605632","1605632","1605632"
"13421","1622016","1622016","1622016"
"13422","1622016","1622016","1622016"
"13423","1622016","1622016","1622016"
"13424","1622016","1622016","1622016"
"13425","1638400","1638400","1638400"
"13426","1638400","1638400","1638400"
"13427","1638400","1638400","1638400"
"13723","1638400","1638400","1638400"
"13724","1654784","1654784","1654784"
"13725","1654784","1654784","1654784"
"13726","1654784","1654784","1654784"
"13727","1654784","1654784","1654784"
"13728","1671168","1671168","1671168"
"13729","1671168","1671168","1671168"
"13730","1671168","1671168","1671168"
"13743","1671168","1671168","1671168"
"13744","1687552","1687552","1687552"
"13745","1687552","1687552","1687552"
"13746","1687552","1687552","1687552"
"14057","1687552","1687552","1687552"
"14058","1703936","1703936","1703936"
"14059","1703936","1703936","1703936"
"14060","1703936","1703936","1703936"
"14061","1703936","1703936","1703936"
"14062","1720320","1720320","1720320"
"14063","1720320","1720320","1720320"
"14064","1720320","1720320","1720320"
"14374","1720320","1720320","1720320"
"14375","1736704","1736704","1736704"
"14376","1736704","1736704","1736704"
"14377","1736704","1736704","1736704"
"14378","1736704","1736704","1736704"
"14379","1753088","1753088","1753088"
"14380","1753088","1753088","1753088"
"14381","1753088","1753088","1753088"
"14648","1753088","1753088","1753088"
"14649","1769472","1769472","1769472"
"14650","1769472","1769472","1769472"
"14651","1769472","1769472","1769472"
"14652","1769472","1769472","1769472"
"14653","1785856","1785856","1785856"
"14654","1785856","1785856","1785856"
"14655","1785856","1785856","1785856"
"14697","1785856","1785856","1785856"
"14698","1802240","1802240","1802240"
"14699","1802240","1802240","1802240"
"14700","1802240","1802240","1802240"
"15010","1802240","1802240","1802240"
"15011","1818624","1818624","1818624"
"15012","1818624","1818624","1818624"
"15013","1818624","1818624","1818624"
"15014","1818624","1818624","1818624"
"15015","1835008","1835008","1835008"
"15016","1835008","1835008","1835008"
"15017","1835008","1835008","1835008"
"15307","1835008","1835008","1835008"
"15308","1851392","1851392","1851392"
"15309","1851392","1851392","1851392"
"15310","1851392","1851392","1851392"
"15311","1851392","1851392","1851392"
"15312","1867776","1867776","1867776"
"15313","1867776","1867776","1867776"
"15314","1867776","1867776","1867776"
"15332","1867776","1867776","1867776"
"15333","1884160","1884160","1884160"
"15334","1884160","1884160","1884160"
"15335","1884160","1884160","1884160"
"15645","1884160","1884160","1884160"
"15646","1900544","1900544","1900544"
"15647","1900544","1900544","1900544"
"15648","1900544","1900544","1900544"
"15649","1900544","1900544","1900544"
"15650","1916928","1916928","1916928"
"15651","1916928","1916928","1916928"
"15652","1916928","1916928","1916928"
"15959","1916928","1916928","1916928"
"15960","1933312","1933312","1933312"
"15961","1933312","1933312","1933312"
"15962","1933312","1933312","1933312"
"15963","1933312","1933312","1933312"
"15964","1949696","1949696","1949696"
"15965","1949696","1949696","1949696"
"15966","1949696","1949696","1949696"
"16232","1949696","1949696","1949696"
"16233","1966080","1966080","1966080"
"16234","1966080","1966080","1966080"
"16235","1966080","1966080","1966080"
"16236","1966080","1966080","1966080"
"16237","1982464","1982464","1982464"
"16238","1982464","1982464","1982464"
"16239","1982464","1982464","1982464"
"16285","1982464","1982464","1982464"
"16286","1998848","1998848","1998848"
"16287","1998848","1998848","1998848"
"16288","1998848","1998848","1998848"
"16597","1998848","1998848","1998848"
"16598","2015232","2015232","2015232"
"16599","2015232","2015232","2015232"
"16600","2015232","2015232","2015232"
"16601","2015232","2015232","2015232"
"16602","2031616","2031616","2031616"
"16603","2031616","2031616","2031616"
"16604","2031616","2031616","2031616"
"16893","2031616","2031616","2031616"
"16894","2048000","2048000","2048000"
"16895","2048000","2048000","2048000"
"16896","2048000","2048000","2048000"
"16897","2048000","2048000","2048000"
"16898","2064384","2064384","2064384"
"16899","2064384","2064384","2064384"
"16900","2064384","2064384","2064384"
"16922","2064384","2064384","2064384"
"16923","2080768","2080768","2080768"
"16924","2080768","2080768","2080768"
"16925","2080768","2080768","2080768"
"17236","2080768","2080768","2080768"
"17237","2097152","2097152","2097152"
"17238","2097152","2097152","2097152"
"17239","2097152","2097152","2097152"
"17240","2097152","2097152","2097152"
"17241","2113536","2113536","2113536"
"17242","2113536","2113536","2113536"
"17243","2113536","2113536","2113536"
"17552","2113536","2113536","2113536"
"17553","2129920","2129920","2129920"
"17554","2129920","2129920","2129920"
"17555","2129920","2129920","2129920"
"17556","2129920","2129920","2129920"
